Corrected_mass_flow(kg/s),x_21(m),r_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
14.80675428,-0.170639354,0.184841712,0.932192027,56.15357865,3.350699438,157614.7163,1.566649968
14.80675428,-0.170729472,0.186131034,0.949140734,60.06233939,3.090436815,157810.9789,1.568600769
14.80675428,-0.17081959,0.187420356,0.966089441,64.45788255,2.571131064,157734.0398,1.567836014
14.80675428,-0.170909708,0.188709678,0.983038148,69.31738814,1.701181844,156546.2415,1.556029603
14.80675428,-0.170999826,0.189999,0.999986855,73.74284195,1.117254211,128400.8965,1.276272072
16.0054751,-0.165682874,0.113929,1.31E-05,86.94575077,17.71151268,140850.4939,1.400019973
16.0054751,-0.165772992,0.115218322,0.016961852,51.25169347,3.473910032,149986.8158,1.490832811
16.0054751,-0.16586311,0.116507644,0.033910559,43.82375196,5.33509492,152496.132,1.51577481
16.0054751,-0.165953228,0.117796966,0.050859266,41.34516499,6.107311213,151994.29,1.510786621
16.0054751,-0.166043345,0.119086288,0.067807973,39.60690572,6.724649299,151213.8759,1.503029493
16.0054751,-0.166133463,0.12037561,0.08475668,39.41108779,7.060911942,150191.6007,1.492868324
16.0054751,-0.166223581,0.121664932,0.101705387,39.26104535,7.303481806,149349.0124,1.484493199
16.0054751,-0.166313699,0.122954254,0.118654094,39.21827915,7.430624537,148759.6118,1.478634699
16.0054751,-0.166403817,0.124243576,0.135602801,39.058128,7.487237917,148383.7119,1.474898345
16.0054751,-0.166493935,0.125532898,0.152551508,38.7976136,7.472000726,148186.0489,1.472933622
16.0054751,-0.166584052,0.12682222,0.169500215,38.48724507,7.398829838,148070.0975,1.471781093
16.0054751,-0.16667417,0.128111542,0.186448922,38.13788449,7.291522916,148014.4791,1.47122826
16.0054751,-0.166764288,0.129400864,0.203397629,37.78386404,7.166694129,147971.8867,1.470804901
16.0054751,-0.166854406,0.130690186,0.220346336,37.42395957,7.01636772,147946.2104,1.470549685
16.0054751,-0.166944524,0.131979508,0.237295043,37.06612439,6.864281254,147920.6938,1.470296056
16.0054751,-0.167034641,0.133268831,0.254243749,36.7224415,6.717795608,147905.1565,1.47014162
16.0054751,-0.167124759,0.134558153,0.271192456,36.38134927,6.573600815,147888.716,1.469978204
16.0054751,-0.167214877,0.135847475,0.288141163,36.06049412,6.441766401,147878.0956,1.46987264
16.0054751,-0.167304995,0.137136797,0.30508987,35.74678783,6.314031851,147868.9259,1.469781496
16.0054751,-0.167395113,0.138426119,0.322038577,35.43980216,6.188809829,147857.1363,1.469664311
16.0054751,-0.167485231,0.139715441,0.338987284,35.1537117,6.069887973,147835.7897,1.46945213
16.0054751,-0.167575348,0.141004763,0.355935991,34.8698054,5.95146893,147814.0711,1.469236252
16.0054751,-0.167665466,0.142294085,0.372884698,34.59812657,5.830835431,147780.3581,1.468901153
16.0054751,-0.167755584,0.143583407,0.389833405,34.33961909,5.707124179,147732.0114,1.468420599
16.0054751,-0.167845702,0.144872729,0.406782112,34.0815853,5.583668531,147684.0209,1.467943585
16.0054751,-0.16793582,0.146162051,0.423730819,33.83488438,5.45403119,147626.5783,1.467372619
16.0054751,-0.168025938,0.147451373,0.440679526,33.59859718,5.318312266,147559.2092,1.466702986
16.0054751,-0.168116055,0.148740695,0.457628233,33.36227013,5.182577412,147492.6665,1.466041568
16.0054751,-0.168206173,0.150030017,0.47457694,33.1343377,5.043033029,147427.3846,1.465392682
16.0054751,-0.168296291,0.151319339,0.491525647,32.92172451,4.897465064,147363.0634,1.464753345
16.0054751,-0.168386409,0.152608661,0.508474353,32.711141,4.753123361,147300.897,1.464135425
16.0054751,-0.168476527,0.153897983,0.52542306,32.50104024,4.609303681,147240.3955,1.463534056
16.0054751,-0.168566644,0.155187305,0.542371767,32.3225885,4.465607944,147169.3592,1.462827972
16.0054751,-0.168656762,0.156476627,0.559320474,32.14249457,4.321088917,147096.2381,1.462101166
16.0054751,-0.16874688,0.157765949,0.576269181,31.96110246,4.176039763,147021.7158,1.461360432
16.0054751,-0.168836998,0.159055271,0.593217888,31.80775437,4.035692082,146952.9299,1.460676716
16.0054751,-0.168927116,0.160344593,0.610166595,31.67263251,3.898421169,146887.07,1.460022085
16.0054751,-0.169017234,0.161633915,0.627115302,31.53896849,3.761198894,146820.3459,1.459358864
16.0054751,-0.169107351,0.162923237,0.644064009,31.42289757,3.627256484,146757.8548,1.458737716
16.0054751,-0.169197469,0.164212559,0.661012716,31.35371763,3.502648321,146709.3681,1.458255771
16.0054751,-0.169287587,0.165501881,0.677961423,31.28392602,3.377678593,146660.3242,1.457768286
16.0054751,-0.169377705,0.166791203,0.69491013,31.21353693,3.252355686,146610.7301,1.457275333
16.0054751,-0.169467823,0.168080525,0.711858837,31.22227326,3.133629826,146561.3912,1.456784917
16.0054751,-0.16955794,0.169369847,0.728807544,31.2455444,3.020749127,146511.6845,1.456290843
16.0054751,-0.169648058,0.170659169,0.745756251,31.27377337,2.913006597,146461.575,1.455792767
16.0054751,-0.169738176,0.171948492,0.762704957,31.37216545,2.805763899,146401.4579,1.455195218
16.0054751,-0.169828294,0.173237814,0.779653664,31.53207166,2.696224726,146334.0677,1.454525375
16.0054751,-0.169918412,0.174527136,0.796602371,31.69260874,2.587460329,146268.7813,1.453876444
16.0054751,-0.17000853,0.175816458,0.813551078,31.89504871,2.481077714,146180.0724,1.4529947
16.0054751,-0.170098647,0.17710578,0.830499785,32.33673888,2.386440225,145953.9246,1.450746844
16.0054751,-0.170188765,0.178395102,0.847448492,32.7776258,2.292027122,145726.9884,1.448491153
16.0054751,-0.170278883,0.179684424,0.864397199,33.21772676,2.19783358,145499.2723,1.44622771
16.0054751,-0.170369001,0.180973746,0.881345906,34.5163039,2.166317557,145114.3128,1.442401306
16.0054751,-0.170459119,0.182263068,0.898294613,36.06374805,2.153203988,144683.2719,1.438116863
16.0054751,-0.170549237,0.18355239,0.91524332,37.61249335,2.140554744,144251.326,1.433823425
16.0054751,-0.170639354,0.184841712,0.932192027,40.19412467,2.154088087,142989.7749,1.42128391
16.0054751,-0.170729472,0.186131034,0.949140734,44.33440146,2.207010276,140479.3279,1.396330672
16.0054751,-0.17081959,0.187420356,0.966089441,49.8961305,2.080600842,137459.7965,1.366317257
16.0054751,-0.170909708,0.188709678,0.983038148,57.41195734,1.579221911,134245.3154,1.33436609
16.0054751,-0.170999826,0.189999,0.999986855,66.69260511,0.74770544,118470.7489,1.1775707
