Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21,,,,,,,,,,,,,,,,,,,,,,,,vn
15.952,0.18899,-0.170852321,0.98691,60.669,0.532776426,142106.02,1.41035,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18905,-0.170856577,0.98776,61.096,0.665394489,141891.402,1.40822,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.1891,-0.170860124,0.98837,61.441,0.531557051,141880.319,1.40811,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18913,-0.170862253,0.9888,61.648,0.621248536,141723.134,1.40655,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18916,-0.170864381,0.9891,61.82,0.504780193,141726.157,1.40658,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18917,-0.17086509,0.98932,61.934,0.580694209,141610.284,1.40543,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18919,-0.170866509,0.98947,62.028,0.479927914,141616.329,1.40549,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18919,-0.170866509,0.98958,62.094,0.547294767,141542.775,1.40476,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.1892,-0.170867218,0.98966,62.145,0.424665801,141562.927,1.40496,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.1892,-0.170867218,0.98972,62.18,0.459651242,141539.752,1.40473,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18921,-0.170867928,0.98981,62.229,0.398078227,141543.782,1.40477,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18922,-0.170868637,0.98995,62.32,0.480982367,141486.349,1.4042,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18924,-0.170870056,0.9902,62.449,0.426301382,141446.046,1.4038,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18927,-0.170872184,0.99062,62.692,0.508099931,141311.028,1.40246,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18933,-0.170876441,0.99134,63.005,0.440458445,141116.562,1.40053,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18942,-0.170882826,0.99255,63.853,0.421210968,140570.447,1.39511,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18954,-0.170891339,0.99408,64.73,0.432631621,139694.847,1.38642,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18966,-0.170899852,0.99561,65.592,0.384592634,138609.669,1.37565,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18978,-0.170908365,0.99713,66.474,0.333444683,137241.356,1.36207,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18987,-0.17091475,0.99835,66.901,0.279619813,136076.577,1.35051,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18993,-0.170919006,0.99906,66.887,0.223343875,135390.406,1.3437,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18996,-0.170921134,0.99949,66.526,0.177508576,135038.755,1.34021,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18998,-0.170922553,0.99973,65.721,0.151064667,134760.66,1.33745,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.18999,-0.170923263,0.99988,64.599,0.135455892,134504.731,1.33491,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.19,-0.170923972,0.99997,63.178,0.227059708,134815.0696,1.33799,,,,,,,,,,,,,,,,,,,,,,,,
