Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,ptr_MA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20022.371,16.206,100759.4,100759.4,286.54,286.54,129000.1,127760,317.44,317.2,1.280279,1.267971028,1.107838347,1.107000768,0.683594541
20022.371,16.205,100759.4,100759.4,286.54,286.54,129504.4,128240,317.53,317.49,1.285284,1.272734852,1.108152439,1.108012843,0.688271062
20022.371,16.204,100759.4,100759.4,286.54,286.54,129907.9,128730,317.63,317.49,1.289288,1.277597921,1.108501431,1.108012843,0.697114304
20022.371,16.203,100759.4,100759.4,286.54,286.54,130412.2,129230,317.74,317.49,1.294293,1.282560238,1.108885321,1.108012843,0.708140814
20022.371,16.198,100759.4,100759.4,286.54,286.54,133236.3,131960,318.42,318.35,1.322321,1.309654484,1.111258463,1.111014169,0.748533518
20022.371,16.186,100759.4,100759.4,286.54,286.54,136564.7,135230,319.62,319.49,1.355354,1.342108032,1.11544636,1.114992671,0.789271001
20022.371,16.162,100759.4,100759.4,286.54,286.54,140195.6,138830,321.36,321.21,1.39139,1.377836708,1.121518811,1.120995324,0.817956223
20022.371,16.131,100759.4,100759.4,286.54,286.54,144129.2,142730,323.4,323.22,1.430429,1.416542774,1.128638235,1.128010051,0.841276206
20022.371,16.052,100759.4,100759.4,286.54,286.54,148062.7,146660,325.56,325.51,1.469468,1.455546579,1.13617645,1.136001954,0.85474003
20022.371,15.953,100759.4,100759.4,286.54,286.54,149979.1,148560,326.7,326.66,1.488487,1.474403381,1.140154952,1.140015356,0.859585593
20022.371,15.79,100759.4,100759.4,286.54,286.54,151466.4,150320,327.94,327.52,1.503248,1.491870734,1.144482446,1.143016682,0.863664139
20022.371,15.559,100759.4,100759.4,286.54,286.54,153581.3,152410,329.48,329.23,1.5242375,1.512613215,1.149856914,1.148984435,0.859004676
20022.371,15.389,100759.4,100759.4,286.54,286.54,154991.2,153810,330.56,330.38,1.5382305,1.526507701,1.153626021,1.152997836,0.855746142
20022.371,15.287,100759.4,100759.4,286.54,286.54,155696.1,154500,331.14,330.95,1.545227,1.533355697,1.155650171,1.154987087,0.854229989
20022.371,15.02,100759.4,100759.4,286.54,286.54,157106.1,155870,332.49,332.39,1.55922,1.546952443,1.160361555,1.160012564,0.845652726
20022.371,14.839,100759.4,100759.4,286.54,286.54,157710.3,156500,333.27,333.25,1.565217,1.553204962,1.163083688,1.16301389,0.837725851
20022.371,14.605,100759.4,100759.4,286.54,286.54,158314.6,157080,334.17,334.11,1.571214,1.558961248,1.166224611,1.166015216,0.830065081
20022.371,14.486,100759.4,100759.4,286.54,286.54,158415.3,157190,334.54,334.39,1.5722135,1.560052958,1.167515879,1.166992392,0.826445943
20022.371,14.357,100759.4,100759.4,286.54,286.54,158415.3,157190,334.86,334.68,1.5722135,1.560052958,1.168632652,1.168004467,0.821467353
