Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
14.82,0.1282,-0.16661,0.19,47.47,7.23,162272,1.6016
14.82,0.1267,-0.1665,0.17,47.68,7.21,162382,1.6026
14.82,0.1252,-0.1664,0.15,47.89,7.12,162583,1.6046
14.82,0.1237,-0.16629,0.13,48,6.93,162847,1.6072
14.82,0.1222,-0.16618,0.11,48.03,6.72,163058,1.6093
14.82,0.1211,-0.1661,0.095,48.03,6.56,163218,1.6109
14.82,0.1203,-0.16605,0.085,48.05,6.24,163459,1.6133
14.82,0.1196,-0.166,0.075,48.07,6.14,163516,1.6138
14.82,0.1188,-0.16594,0.065,48.16,5.79,163635,1.615
14.82,0.1181,-0.16589,0.055,48.36,5.49,163634,1.615
14.82,0.1173,-0.16584,0.045,48.67,5.13,163672,1.6154
14.82,0.1166,-0.16578,0.035,49.25,4.66,163887,1.6175
14.82,0.1158,-0.16573,0.025,50.63,3.93,164459,1.6231
14.82,0.1151,-0.16568,0.015,53.09,3.03,164510,1.6237
14.82,0.1145,-0.16564,0.0075,56.65,1.96,162925,1.608
14.82,0.1141,-0.16561,0.0025,66.34,0.36,158275,1.5621
