Corrected_mass_flow(kg/s),x_30(m),r_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),Ttr_AA_15_30,ptr_AA_15_30
16.0070672,-0.088,0.188813966,0.98303703,140924.0457,335.6191639,1.167024473,1.400253959
16.0070672,-0.088,0.189999,0.999985698,130440.0693,334.8164643,1.164233303,1.296082742
14.80649226,-0.088,0.120082,1.43E-05,143072.6344,333.6091532,1.160035235,1.421601394
14.80649226,-0.088,0.121267034,0.01696297,157087.8658,334.3577305,1.16263821,1.560859839
14.80649226,-0.088,0.122452068,0.033911638,159399.1566,333.8699387,1.160942046,1.583825337
14.80649226,-0.088,0.123637102,0.050860305,160449.4577,333.2715095,1.158861171,1.59426136
14.80649226,-0.088,0.124822136,0.067808973,160706.1416,332.6470634,1.156689829,1.596811829
14.80649226,-0.088,0.126007169,0.084757641,160548.4655,332.0806665,1.154720338,1.595245124
14.80649226,-0.088,0.127192203,0.101706309,160177.0848,331.5865598,1.153002216,1.591555003
14.80649226,-0.088,0.128377237,0.118654976,159650.9265,331.1597697,1.151518169,1.586326977
14.80649226,-0.088,0.129562271,0.135603644,159084.8238,330.7917734,1.150238562,1.580702056
14.80649226,-0.088,0.130747305,0.152552312,158564.3619,330.4824975,1.149163139,1.575530631
14.80649226,-0.088,0.131932339,0.169500979,158119.5009,330.2298986,1.148284795,1.571110394
14.80649226,-0.088,0.133117373,0.186449647,157775.0745,330.0435249,1.147636731,1.567688097
14.80649226,-0.088,0.134302407,0.203398315,157519.6079,329.9085231,1.147167299,1.565149723
14.80649226,-0.088,0.135487441,0.220346983,157350.7325,329.8157643,1.146844756,1.563471741
14.80649226,-0.088,0.136672475,0.23729565,157273.8756,329.7598201,1.146650225,1.562708073
14.80649226,-0.088,0.137857508,0.254244318,157301.1223,329.7395192,1.146579634,1.562978802
14.80649226,-0.088,0.139042542,0.271192986,157404.1507,329.7435668,1.146593708,1.564002515
14.80649226,-0.088,0.140227576,0.288141654,157554.0461,329.7617886,1.14665707,1.565491909
14.80649226,-0.088,0.14141261,0.305090321,157722.7065,329.7841979,1.146734992,1.567167757
14.80649226,-0.088,0.142597644,0.322038989,157891.2839,329.804372,1.146805142,1.568842779
14.80649226,-0.088,0.143782678,0.338987657,158051.5147,329.821145,1.146863465,1.570434867
14.80649226,-0.088,0.144967712,0.355936324,158202.7664,329.8360061,1.146915141,1.571937738
14.80649226,-0.088,0.146152746,0.372884992,158345.4492,329.8506986,1.14696623,1.573355466
14.80649226,-0.088,0.14733778,0.38983366,158481.2575,329.8674526,1.147024488,1.574704887
14.80649226,-0.088,0.148522814,0.406782328,158611.764,329.8868861,1.147092062,1.576001629
14.80649226,-0.088,0.149707847,0.423730995,158737.1691,329.9090772,1.147169226,1.577247682
14.80649226,-0.088,0.150892881,0.440679663,158855.4588,329.9347081,1.14725835,1.578423034
14.80649226,-0.088,0.152077915,0.457628331,158964.7099,329.9657234,1.147366198,1.579508578
14.80649226,-0.088,0.153262949,0.474576998,159064.4417,330.005092,1.147503091,1.580499535
14.80649226,-0.088,0.154447983,0.491525666,159154.9038,330.0572727,1.147684536,1.581398386
14.80649226,-0.088,0.155633017,0.508474334,159236.642,330.1300768,1.147937692,1.582210555
14.80649226,-0.088,0.156818051,0.525423002,159312.0254,330.2313506,1.148289844,1.582959581
14.80649226,-0.088,0.158003085,0.542371669,159384.1812,330.368948,1.148768302,1.583676537
14.80649226,-0.088,0.159188119,0.559320337,159455.0315,330.5541549,1.149412308,1.584380522
