Corrected_mass_flow(kg/s),x_30(m),r_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),Ttr_AA_15_30,ptr_AA_15_30
9.539775182,-0.088,0.188813966,0.98303703,117805.7451,310.7903902,1.080112368,1.169366827
9.539775182,-0.088,0.189999,0.999985698,113484.6731,310.8806788,1.080426155,1.126474875
10.43901352,-0.088,0.120082,1.43E-05,108935.7332,305.7810288,1.062993821,1.081712167
10.43901352,-0.088,0.121267034,0.01696297,116922.9845,306.1219285,1.064178899,1.161024131
10.43901352,-0.088,0.122452068,0.033911638,118997.3861,305.6704891,1.062609549,1.181622564
10.43901352,-0.088,0.123637102,0.050860305,120019.585,305.1123933,1.060669428,1.191772815
10.43901352,-0.088,0.124822136,0.067808973,120342.4945,304.6046442,1.058904327,1.194979247
10.43901352,-0.088,0.126007169,0.084757641,120262.5092,304.2116451,1.057538135,1.194185008
10.43901352,-0.088,0.127192203,0.101706309,120048.4567,303.9386103,1.056588978,1.192059505
10.43901352,-0.088,0.128377237,0.118654976,119838.6354,303.744269,1.055913385,1.189976017
10.43901352,-0.088,0.129562271,0.135603644,119671.1282,303.6081338,1.055440135,1.188312702
10.43901352,-0.088,0.130747305,0.152552312,119552.7494,303.5101883,1.055099645,1.187137222
10.43901352,-0.088,0.131932339,0.169500979,119477.2373,303.4368674,1.054844757,1.1863874
10.43901352,-0.088,0.133117373,0.186449647,119433.1442,303.3794017,1.054644988,1.185949563
10.43901352,-0.088,0.134302407,0.203398315,119409.989,303.3322918,1.054481219,1.185719637
10.43901352,-0.088,0.135487441,0.220346983,119405.2418,303.2957151,1.054354067,1.185672497
10.43901352,-0.088,0.136672475,0.23729565,119405.2311,303.262743,1.054239445,1.185672391
10.43901352,-0.088,0.137857508,0.254244318,119407.318,303.2320034,1.054132584,1.185693114
10.43901352,-0.088,0.139042542,0.271192986,119403.7734,303.201492,1.054026516,1.185657917
10.43901352,-0.088,0.140227576,0.288141654,119399.0415,303.1708598,1.053920029,1.185610929
10.43901352,-0.088,0.14141261,0.305090321,119381.0403,303.1369772,1.053802242,1.185432181
10.43901352,-0.088,0.142597644,0.322038989,119360.427,303.1024223,1.053682118,1.185227495
10.43901352,-0.088,0.143782678,0.338987657,119327.8468,303.0647095,1.053551016,1.184903979
10.43901352,-0.088,0.144967712,0.355936324,119291.5828,303.0260589,1.053416654,1.184543884
10.43901352,-0.088,0.146152746,0.372884992,119247.0644,302.9854504,1.053275486,1.184101824
10.43901352,-0.088,0.14733778,0.38983366,119199.0578,302.9440809,1.053131672,1.183625128
10.43901352,-0.088,0.148522814,0.406782328,119146.4199,302.901712,1.052984384,1.183102442
10.43901352,-0.088,0.149707847,0.423730995,119091.6766,302.8589714,1.052835804,1.182558851
10.43901352,-0.088,0.150892881,0.440679663,119035.2142,302.8159303,1.052686179,1.18199819
10.43901352,-0.088,0.152077915,0.457628331,118978.2659,302.7734594,1.052538537,1.181432704
10.43901352,-0.088,0.153262949,0.474576998,118921.0464,302.7312538,1.052391816,1.180864525
10.43901352,-0.088,0.154447983,0.491525666,118864.59,302.6911003,1.05225223,1.180303923
10.43901352,-0.088,0.155633017,0.508474334,118808.2824,302.6514439,1.052114371,1.179744798
10.43901352,-0.088,0.156818051,0.525423002,118752.4387,302.6151173,1.051988088,1.179190281
10.43901352,-0.088,0.158003085,0.542371669,118696.3607,302.5792139,1.051863276,1.178633436
10.43901352,-0.088,0.159188119,0.559320337,118635.387,302.5463669,1.051749089,1.178027978
10.43901352,-0.088,0.160373153,0.576269005,118573.8558,302.5144501,1.051638137,1.177416985
10.43901352,-0.088,0.161558186,0.593217672,118509.4828,302.4868422,1.051542162,1.176777772
10.43901352,-0.088,0.16274322,0.61016634,118445.3745,302.4608918,1.051451951,1.176141189
10.43901352,-0.088,0.163928254,0.627115008,118381.7111,302.4387892,1.051375115,1.175509023
10.43901352,-0.088,0.165113288,0.644063676,118321.4241,302.4190497,1.051306494,1.174910384
10.43901352,-0.088,0.166298322,0.661012343,118265.5746,302.4024784,1.051248887,1.174355808
10.43901352,-0.088,0.167483356,0.677961011,118216.8262,302.3875511,1.051196994,1.173871745
10.43901352,-0.088,0.16866839,0.694909679,118173.7231,302.3739264,1.051149631,1.173443739
10.43901352,-0.088,0.169853424,0.711858346,118134.0025,302.3613044,1.051105752,1.17304932
10.43901352,-0.088,0.171038458,0.728807014,118096.0723,302.3492015,1.051063679,1.172672681
10.43901352,-0.088,0.172223492,0.745755682,118048.6316,302.3380968,1.051025075,1.172201603
10.43901352,-0.088,0.173408525,0.76270435,117999.3536,302.3272364,1.050987321,1.171712281
10.43901352,-0.088,0.174593559,0.779653017,117937.9866,302.3233861,1.050973936,1.171102918
10.43901352,-0.088,0.175778593,0.796601685,117869.2152,302.3251203,1.050979965,1.170420031
10.43901352,-0.088,0.176963627,0.813550353,117783.073,302.3404208,1.051033154,1.169564655
10.43901352,-0.088,0.178148661,0.830499021,117667.1088,302.3800628,1.051170963,1.16841315
10.43901352,-0.088,0.179333695,0.847447688,117518.6993,302.4485711,1.05140912,1.166939471
10.43901352,-0.088,0.180518729,0.864396356,117324.6425,302.5595565,1.051794941,1.165012522
10.43901352,-0.088,0.181703763,0.881345024,117069.6994,302.726218,1.05237431,1.162480983
10.43901352,-0.088,0.182888797,0.898293691,116736.5366,302.9545025,1.053167901,1.159172736
10.43901352,-0.088,0.184073831,0.915242359,116303.2685,303.2438335,1.054173709,1.154870463
10.43901352,-0.088,0.185258864,0.932191027,115728.3498,303.593769,1.055390198,1.149161624
10.43901352,-0.088,0.186443898,0.949139695,114999.6004,303.9795494,1.056731296,1.141925274
10.43901352,-0.088,0.187628932,0.966088362,114066.9324,304.3626832,1.058063193,1.132664048
10.43901352,-0.088,0.188813966,0.98303703,112799.1631,304.6858943,1.059186779,1.120075329
10.43901352,-0.088,0.189999,0.999985698,108491.6169,304.5114539,1.058580368,1.077302172
