Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,ptr_MA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
13002.73329,8.814132943,100791.9031,101180.1234,287.7644568,288.0288694,122283.4563,122395.2726,307.514701,307.3845455,1.21322698,1.068633369,1.209677045,1.067200472,0.844893267
13002.78223,8.900586374,100786.3001,101177.1957,287.7609743,288.026701,122367.2219,122474.2921,307.4402681,307.3177451,1.214125549,1.06838764,1.210493049,1.066976583,0.851055581
13002.82145,8.972617612,100781.5558,101174.7683,287.7581535,288.0249636,122387.9738,122492.8689,307.3404899,307.2221526,1.214388613,1.068051369,1.210705702,1.066651129,0.856192906
13002.87124,9.063323048,100775.537,101171.7579,287.7549917,288.0227578,122327.6502,122432.5731,307.1607501,307.0450838,1.213862548,1.067438477,1.210145752,1.066044524,0.862075572
13003.01343,9.332218025,100757.3133,101162.968,287.7464747,288.0164587,121797.5257,121917.7611,306.4559789,306.3410495,1.208820696,1.065020794,1.205161963,1.063623415,0.875137038
13003.1228,9.539775182,100743.1906,101156.3471,287.7389422,288.0116135,121194.3935,121336.0577,305.8384818,305.7358441,1.203003328,1.062902642,1.199490306,1.061539986,0.88113714
13003.22476,9.737114611,100729.5329,101150.1771,287.7317923,288.0070972,120593.4222,120748.1474,305.2512367,305.1657537,1.197200252,1.060888108,1.193751221,1.0595772,0.885736261
13003.56818,9.927938663,100728.8258,101134.0403,287.688793,287.9918851,119994.5736,120162.5341,304.6797056,304.6087197,1.1912635,1.059060043,1.188151227,1.057698968,0.888671948
13003.75604,10.10817788,100721.8114,101123.6519,287.6761909,287.9835641,119391.2837,119575.8258,304.1367178,304.0789351,1.185356796,1.057218941,1.182471396,1.055889895,0.890742362
13004.06061,10.43901352,100706.7652,101106.7555,287.6602128,287.9700744,118170.2431,118393.752,303.1057003,303.0767255,1.173409184,1.053693513,1.17097766,1.052459101,0.891158491
13004.41688,10.86696552,100685.5359,101086.8521,287.6460832,287.954296,116287.3339,116593.9604,301.6805127,301.698643,1.154955703,1.048790616,1.15340381,1.047731002,0.880337861
13004.60275,11.10727528,100673.2797,101076.4721,287.6392341,287.9460651,114987.5094,115366.8175,300.826803,300.87691,1.142184994,1.045847601,1.141381521,1.044907177,0.862097006
13005.00208,11.39176979,100667.5802,101055.6009,287.6141387,287.928382,112995.2144,113504.1023,299.7709373,299.8528807,1.122458831,1.042267736,1.123184675,1.041414808,0.810264206
13005.42826,11.80240425,100653.0241,101032.5368,287.6011597,287.9095119,109523.3126,110461.7263,298.0403504,298.1936773,1.088127392,1.036297457,1.093328246,1.035720131,0.683772118
13005.81862,12.12132241,100645.2425,101011.6805,287.5884806,287.8922291,106115.7385,107582.2325,296.5948454,296.7846043,1.054354243,1.031316848,1.065047447,1.030887861,0.493311832
