Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,ptr_MA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
19992,14.355,101317.336,101319.117,288.002,288.003,158747.328,159932.266,336.506,336.014,1.566832827,1.578500393,1.168415497,1.166703125,0.821196712
19992,14.191,101317.453,101319.781,288.002,288.004,158699.594,160257.734,337.297,336.751,1.566359885,1.581702333,1.171162006,1.169258066,0.80822145
19992,14.052,101318.594,101320.094,288.002,288.003,158592.125,160151.656,337.744,337.342,1.565281542,1.580650488,1.172714078,1.171314188,0.797215581
19992,13.908,101316.492,101318.547,288.001,288.003,158653.859,160378.219,338.412,337.956,1.565923335,1.582910768,1.175037587,1.17344611,0.788184109
19992,13.671,101317.711,101319.109,288.001,288.002,158493.047,160414.797,339.257,338.829,1.564317289,1.583263005,1.177971604,1.176481413,0.772740018
19992,13.574,101318.148,101319.695,288.002,288.002,158462.297,160602.609,339.812,339.333,1.564007042,1.585107506,1.179894584,1.178231401,0.76479146
