Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30,
16.01281025,0.14391106,-0.088,0.341586571,149532.9931,324.24503,1.4757759,1.125264723,
16.01281025,0.14523675,-0.088,0.360525,149499.2721,324.22583,1.4754431,1.125198091,
16.01281025,0.14656243,-0.088,0.379463286,149467.5675,324.21072,1.4751302,1.125145653,
16.01281025,0.14788809,-0.088,0.398401286,149436.3594,324.19873,1.4748222,1.125104043,
16.01281025,0.14921376,-0.088,0.417339429,149406.3064,324.18912,1.4745256,1.125070692,
16.01281025,0.15053943,-0.088,0.436277571,149369.647,324.18079,1.4741638,1.125041784,
16.01281025,0.15186511,-0.088,0.455215857,149325.4693,324.17371,1.4737278,1.125017213,
16.01281025,0.15319079,-0.088,0.474154143,149274.4421,324.16891,1.4732242,1.125000555,
16.01281025,0.15451647,-0.088,0.493092429,149214.1132,324.168,1.4726288,1.124997397,
16.01281025,0.15584214,-0.088,0.512030571,149142.5676,324.173,1.4719227,1.125014749,
16.01281025,0.15716782,-0.088,0.530968857,149060.5349,324.18585,1.4711131,1.125059344,
16.01281025,0.1584935,-0.088,0.549907143,148965.4211,324.2081,1.4701744,1.125136561,
16.01281025,0.15981917,-0.088,0.568845286,148858.817,324.23993,1.4691223,1.125247024,
16.01281025,0.16114485,-0.088,0.587783571,148742.1717,324.28043,1.4679711,1.125387576,
16.01281025,0.16247052,-0.088,0.606721714,148613.4282,324.32733,1.4667005,1.125550338,
16.01281025,0.1637962,-0.088,0.62566,148480.4188,324.3782,1.4653878,1.125726878,
16.01281025,0.16512187,-0.088,0.644598143,148352.7392,324.43112,1.4641277,1.125910533,
16.01281025,0.16644755,-0.088,0.663536429,148252.2755,324.48703,1.4631362,1.126104564,
16.01281025,0.16777322,-0.088,0.682474571,148192.4633,324.55035,1.4625459,1.12632431,
16.01281025,0.16909891,-0.088,0.701413,148183.4251,324.62921,1.4624567,1.126597987,
16.01281025,0.17042458,-0.088,0.720351143,148229.9536,324.73572,1.4629159,1.126967621,
16.01281025,0.17175025,-0.088,0.739289286,148334.5311,324.88593,1.463948,1.127488912,
16.01281025,0.17307594,-0.088,0.758227714,148494.199,325.09583,1.4655238,1.128217352,
16.01281025,0.17440161,-0.088,0.777165857,148704.5903,325.38806,1.4676002,1.129231511,
16.01281025,0.17562814,-0.088,0.794687714,148938.6611,325.78546,1.4699103,1.130610654,
16.01281025,0.17676298,-0.088,0.810899714,149141.5543,326.29446,1.4719127,1.132377095,
16.01281025,0.17781295,-0.088,0.825899286,149289.0937,326.91306,1.4733688,1.134523894,
16.01281025,0.17878442,-0.088,0.839777429,149371.1669,327.62543,1.4741788,1.136996113,
16.01281025,0.17968324,-0.088,0.852617714,149345.5925,328.40356,1.4739264,1.139696547,
16.01281025,0.18051484,-0.088,0.864497714,149176.4709,329.21313,1.4722573,1.142506091,
