Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21,,,,,,,
16.01281025,0.18760245,-0.1708305,0.978734481,50.03679786,1,137058.7609,1.3526648,,,,,,,
16.01281025,0.18781176,-0.17084536,0.981515002,51.31235585,1,136378.2216,1.3459484,,,,,,,
16.01281025,0.18797116,-0.1708567,0.983632507,52.36770099,1,135850.7845,1.340743,,,,,,,
16.01281025,0.18809257,-0.17086533,0.985245345,53.18639432,1,135483.4611,1.3371178,,,,,,,
16.01281025,0.18818508,-0.1708719,0.986474269,53.8143805,1,135201.8282,1.3343383,,,,,,,
16.01281025,0.18825553,-0.17087691,0.987410142,54.29919261,1,134991.2242,1.3322598,,,,,,,
16.01281025,0.18830918,-0.17088072,0.988122841,54.67840729,1,134825.3248,1.3306225,,,,,,,
16.01281025,0.18835004,-0.17088361,0.988665634,54.97666383,1,134688.4246,1.3292714,,,,,,,
16.01281025,0.18838117,-0.17088583,0.989079172,55.2088981,1,134583.533,1.3282362,,,,,,,
16.01281025,0.18840487,-0.17088751,0.989394008,55.38780507,1,134502.9188,1.3274406,,,,,,,
16.01281025,0.18842295,-0.1708888,0.989634187,55.52502806,1,134441.2828,1.3268323,,,,,,,
16.01281025,0.1884367,-0.17088978,0.989816845,55.62976992,1,134394.6632,1.3263722,,,,,,,
16.01281025,0.18844716,-0.17089052,0.989955798,55.70950958,1,134357.6897,1.3260073,,,,,,,
16.01281025,0.18845513,-0.17089109,0.990061673,55.77344679,1,134328.1332,1.3257156,,,,,,,
16.01281025,0.18846312,-0.17089166,0.990167814,55.83383885,1,134299.3569,1.3254316,,,,,,,
16.01281025,0.18847238,-0.17089231,0.990290826,55.90037236,1,134267.8752,1.3251209,,,,,,,
16.01281025,0.18848309,-0.17089307,0.9904331,55.97739972,1,134231.8947,1.3247658,,,,,,,
16.01281025,0.1884955,-0.17089397,0.990597957,56.06662183,1,134188.5884,1.3243384,,,,,,,
16.01281025,0.18850991,-0.170895,0.990789383,56.16941826,1,134138.8986,1.323848,,,,,,,
16.01281025,0.18852659,-0.17089617,0.991010964,56.28862424,1,134080.4138,1.3232708,,,,,,,
16.01281025,0.18854591,-0.17089754,0.991267615,56.42782283,1,134010.2159,1.322578,,,,,,,
16.01281025,0.18856831,-0.17089914,0.991565182,56.59060935,1,133927.4941,1.3217616,,,,,,,
16.01281025,0.18859427,-0.17090099,0.99191004,56.78156933,1,133827.4053,1.3207738,,,,,,,
16.01281025,0.18862432,-0.1709031,0.992309231,57.00613316,1,133704.8426,1.3195642,,,,,,,
16.01281025,0.18865921,-0.17090559,0.992772718,57.26825196,1,133555.2159,1.3180875,,,,,,,
16.01281025,0.1886996,-0.17090847,0.993309268,57.56261818,1,133381.6462,1.3163745,,,,,,,
16.01281025,0.18873999,-0.17091134,0.993845817,57.87625301,1,133181.7523,1.3144017,,,,,,,
16.01281025,0.18878038,-0.17091422,0.994382367,58.19772366,1,132958.2394,1.3121958,,,,,,,
16.01281025,0.18882078,-0.17091706,0.99491905,58.52261555,1,132712.1413,1.309767,,,,,,,
16.01281025,0.18886118,-0.17091994,0.995455733,58.84991152,1,132423.0611,1.306914,,,,,,,
16.01281025,0.18890157,-0.1709228,0.995992282,59.171645,1,132097.6254,1.3037022,,,,,,,
16.01281025,0.18894197,-0.17092568,0.996528965,59.4838246,1,131714.3433,1.2999195,,,,,,,
16.01281025,0.18898235,-0.17092855,0.997065382,59.78061647,1,131248.0254,1.2953173,,,,,,,
16.01281025,0.18902275,-0.17093141,0.997602065,60.04931644,1,130690.8899,1.2898188,,,,,,,
16.01281025,0.18906315,-0.17093429,0.998138747,60.275666,1,130053.6975,1.2835302,,,,,,,
16.01281025,0.18909504,-0.17093655,0.998562381,60.44612525,1,129352.2752,1.2766077,,,,,,,
16.01281025,0.1891202,-0.17093836,0.998896612,60.55683926,1,128611.1132,1.269293,,,,,,,
16.01281025,0.18914008,-0.17093976,0.999160703,60.61214351,1,127820.2007,1.2614873,,,,,,,
16.01281025,0.18915574,-0.17094088,0.999368734,60.61905333,1,126949.5757,1.2528949,,,,,,,
16.01281025,0.18916813,-0.17094176,0.999533325,60.58260544,1,125956.4084,1.2430931,,,,,,,
16.01281025,0.1891779,-0.17094244,0.999663112,60.50824667,1,124827.5668,1.2319523,,,,,,,
16.01281025,0.18918559,-0.17094299,0.999765268,60.40084349,1,123657.8102,1.2204077,,,,,,,
16.01281025,0.18919168,-0.17094342,0.999846169,60.26458647,1,122596.5727,1.2099341,,,,,,,
16.01281025,0.1891965,-0.17094377,0.999910199,60.08252905,1,121803.1777,1.2021039,,,,,,,
16.01281025,0.18920027,-0.17094404,0.99996028,59.69555456,1,121342.6251,1.1975586,,,,,,,
16.01281025,0.18920326,-0.17094424,1,58.96784446,1,121278.6485,1.1969272,,,,,,,
14.84342856,0.113926,-0.16559516,0,89.9989621,1,157801.0523,1.5573753,,,,,,,
14.84342856,0.11392899,-0.16559538,3.97E-05,87.36317909,1,155494.7534,1.5346139,,,,,,,
14.84342856,0.1139327,-0.16559564,8.90E-05,84.37564394,1,154256.7342,1.5223956,,,,,,,
14.84342856,0.11393729,-0.16559596,0.000149979,81.40821369,1,153413.9027,1.5140775,,,,,,,
14.84342856,0.11394297,-0.16559637,0.000225433,78.70700262,1,152984.4468,1.5098391,,,,,,,
14.84342856,0.11395001,-0.16559687,0.000318954,76.49329109,1,152874.2356,1.5087514,,,,,,,
14.84342856,0.11395872,-0.1655975,0.00043466,74.74337372,1,152949.9152,1.5094983,,,,,,,
14.84342856,0.11396952,-0.16559826,0.000578129,73.30892795,1,153120.5162,1.511182,,,,,,,
14.84342856,0.11398289,-0.16559921,0.00075574,72.02688438,1,153345.7008,1.5134044,,,,,,,
14.84342856,0.11399946,-0.1656004,0.000975859,70.7889433,1,153641.7522,1.5163262,,,,,,,
14.84342856,0.11401995,-0.16560183,0.001248053,69.53804705,1,154003.1988,1.5198934,,,,,,,
14.84342856,0.11404534,-0.16560367,0.001585339,68.23792295,1,154454.9056,1.5243514,,,,,,,
14.84342856,0.11407679,-0.16560589,0.002003128,66.87059726,1,155003.1853,1.5297625,,,,,,,
14.84342856,0.11411574,-0.16560864,0.002520549,65.43248737,1,155633.2343,1.5359806,,,,,,,
14.84342856,0.11416395,-0.16561207,0.003160981,63.9305968,1,156399.6161,1.5435442,,,,,,,
14.84342856,0.11422367,-0.1656163,0.003954315,62.40475612,1,157210.2059,1.5515441,,,,,,,
14.84342856,0.11429765,-0.16562159,0.004937082,60.87601056,1,158132.5775,1.5606472,,,,,,,
14.84342856,0.11438926,-0.16562809,0.00615405,59.42057698,1,159042.8205,1.5696306,,,,,,,
14.84342856,0.11450269,-0.16563615,0.007660879,58.07373334,1,159878.6403,1.5778795,,,,,,,
14.84342856,0.11464319,-0.16564612,0.009527313,56.85247374,1,160716.6184,1.5861497,,,,,,,
14.84342856,0.11481716,-0.16565849,0.011838369,55.81922962,1,161310.7172,1.592013,,,,,,,
14.84342856,0.11503263,-0.16567381,0.014700721,54.8929571,1,161820.3313,1.5970425,,,,,,,
14.84342856,0.11529946,-0.16569275,0.018245351,54.03002974,1,162121.682,1.6000166,,,,,,,
14.84342856,0.1156299,-0.16571626,0.02263499,53.12596759,1,162247.8114,1.6012614,,,,,,,
14.84342856,0.11603913,-0.16574532,0.028071293,52.15337192,1,162247.5276,1.6012586,,,,,,,
14.84342856,0.11654593,-0.16578133,0.034803738,51.08667086,1,161997.2549,1.5987886,,,,,,,
14.84342856,0.11717357,-0.16582593,0.043141448,49.8222144,1,161708.9245,1.595943,,,,,,,
14.84342856,0.11795084,-0.16588117,0.053466877,48.5306119,1,161373.9035,1.5926366,,,,,,,
14.84342856,0.11891342,-0.16594957,0.066254006,47.4133188,1,161025.5481,1.5891986,,,,,,,
14.84342856,0.119876,-0.16601796,0.079041134,46.57605516,1,160484.1383,1.5838553,,,,,,,
14.84342856,0.12087049,-0.16608864,0.092252162,46.09209695,1,159976.6723,1.578847,,,,,,,
14.84342856,0.12189793,-0.16616164,0.105900906,45.87967765,1,159482.9662,1.5739745,,,,,,,
14.84342856,0.12295944,-0.16623707,0.120002242,45.76108254,1,158895.2711,1.5681744,,,,,,,
14.84342856,0.12405611,-0.166315,0.134570653,45.6797274,1,158437.0896,1.5636525,,,,,,,
14.84342856,0.12518913,-0.16639552,0.149621944,45.57675829,1,158163.9579,1.5609569,,,,,,,
14.84342856,0.12635972,-0.16647869,0.165172324,45.42445447,1,157985.6664,1.5591973,,,,,,,
14.84342856,0.12756908,-0.16656463,0.181237734,45.21610371,1,157852.4747,1.5578828,,,,,,,
14.84342856,0.12881853,-0.16665339,0.197835708,44.96830185,1,157767.2503,1.5570417,,,,,,,
14.84342856,0.13010935,-0.16674513,0.21498325,44.71752704,1,157750.7039,1.5568784,,,,,,,
14.84342856,0.13144301,-0.1668399,0.232699888,44.43802393,1,157775.9743,1.5571278,,,,,,,
14.84342856,0.13282083,-0.1669378,0.251003158,44.13056251,1,157827.488,1.5576362,,,,,,,
14.84342856,0.13424434,-0.16703896,0.269913384,43.82845329,1,157909.8855,1.5584494,,,,,,,
14.84342856,0.13571501,-0.16714346,0.289450094,43.51580812,1,158006.2962,1.5594009,,,,,,,
14.84342856,0.13723443,-0.16725142,0.30963441,43.18547189,1,158099.8496,1.5603242,,,,,,,
14.84342856,0.1388042,-0.16736297,0.330487587,42.82877585,1,158183.1792,1.5611466,,,,,,,
14.84342856,0.14042601,-0.16747822,0.352032074,42.42995046,1,158250.4894,1.5618109,,,,,,,
14.84342856,0.14210156,-0.16759728,0.374290456,42.00336937,1,158322.876,1.5625253,,,,,,,
14.84342856,0.14383264,-0.16772029,0.397286511,41.63866026,1,158434.1613,1.5636236,,,,,,,
14.84342856,0.14562109,-0.16784737,0.421044682,41.26192397,1,158555.7715,1.5648238,,,,,,,
14.84342856,0.14746881,-0.16797867,0.445590209,40.73933219,1,158654.1986,1.5657952,,,,,,,
14.84342856,0.14931653,-0.16810997,0.470135736,40.15563736,1,158719.918,1.5664438,,,,,,,
14.84342856,0.15116426,-0.16824126,0.494681395,39.67998911,1,158790.4098,1.5671395,,,,,,,
14.84342856,0.15301196,-0.16837254,0.519226656,39.27756214,1,158870.9936,1.5679348,,,,,,,
14.84342856,0.15485971,-0.16850385,0.543772582,38.81628555,1,158932.8424,1.5685452,,,,,,,
14.84342856,0.15670741,-0.16863514,0.568317843,38.41213613,1,158959.1869,1.5688052,,,,,,,
14.84342856,0.15855515,-0.16876645,0.592863635,38.23340044,1,159008.9577,1.5692964,,,,,,,
14.84342856,0.16040286,-0.16889773,0.617409029,38.25528761,1,159108.0029,1.5702739,,,,,,,
14.84342856,0.16225059,-0.16902903,0.641954689,38.40243757,1,159150.985,1.5706981,,,,,,,
14.84342856,0.16409832,-0.16916034,0.666500348,38.66943412,1,159115.0045,1.570343,,,,,,,
14.84342856,0.16594604,-0.16929165,0.691045875,38.98453554,1,159165.2718,1.5708391,,,,,,,
14.84342856,0.16779377,-0.16942291,0.715591535,39.24482888,1,159334.4339,1.5725086,,,,,,,
14.84342856,0.16964148,-0.16955423,0.740136928,39.38991679,1,159595.9031,1.5750891,,,,,,,
14.84342856,0.17148919,-0.16968551,0.764682322,39.50984718,1,160093.6115,1.5800011,,,,,,,
14.84342856,0.17333691,-0.16981682,0.789227849,39.83400645,1,160750.9067,1.5864881,,,,,,,
14.84342856,0.17518465,-0.16994812,0.813773642,40.67245632,1,161431.831,1.5932083,,,,,,,
14.84342856,0.17703237,-0.1700794,0.838319168,42.1360835,1,161990.1621,1.5987186,,,,,,,
14.84342856,0.17888008,-0.17021069,0.862864562,44.16650732,1,162229.3702,1.6010794,,,,,,,
14.84342856,0.18072779,-0.17034198,0.887409956,46.74519046,1,161992.0164,1.5987369,,,,,,,
14.84342856,0.18257551,-0.17047329,0.911955483,49.62630839,1,161316.9183,1.5920742,,,,,,,
14.84342856,0.18398288,-0.17057329,0.930651302,52.37685851,1,160438.7143,1.583407,,,,,,,
14.84342856,0.18505482,-0.17064947,0.944891193,54.95302304,1,159343.6443,1.5725995,,,,,,,
14.84342856,0.18587129,-0.17070748,0.955737363,57.30316196,1,158336.6461,1.5626612,,,,,,,
14.84342856,0.1864932,-0.17075168,0.963998955,59.3755696,1,157493.5816,1.5543408,,,,,,,
14.84342856,0.18696685,-0.17078532,0.970291028,61.17940487,1,156734.3027,1.5468473,,,,,,,
14.84342856,0.18732765,-0.17081098,0.975083976,62.64695882,1,156167.8047,1.5412564,,,,,,,
14.84342856,0.18760245,-0.1708305,0.978734481,63.82923395,1,155653.8843,1.5361844,,,,,,,
14.84342856,0.18781176,-0.17084536,0.981515002,64.75035432,1,155226.303,1.5319645,,,,,,,
14.84342856,0.18797116,-0.1708567,0.983632507,65.461627,1,154842.5548,1.5281772,,,,,,,
14.84342856,0.18809257,-0.17086533,0.985245345,65.99300481,1,154535.5096,1.5251469,,,,,,,
14.84342856,0.18818508,-0.1708719,0.986474269,66.39203969,1,154269.6126,1.5225227,,,,,,,
14.84342856,0.18825553,-0.17087691,0.987410142,66.69624188,1,154049.8285,1.5203536,,,,,,,
14.84342856,0.18830918,-0.17088072,0.988122841,66.93218623,1,153863.2588,1.5185123,,,,,,,
14.84342856,0.18835004,-0.17088361,0.988665634,67.1162446,1,153702.304,1.5169238,,,,,,,
14.84342856,0.18838117,-0.17088583,0.989079172,67.25858212,1,153573.4085,1.5156517,,,,,,,
14.84342856,0.18840487,-0.17088751,0.989394008,67.36769946,1,153470.7257,1.5146383,,,,,,,
14.84342856,0.18842295,-0.1708888,0.989634187,67.45106807,1,153389.6151,1.5138378,,,,,,,
14.84342856,0.1884367,-0.17088978,0.989816845,67.51419173,1,153326.9253,1.5132191,,,,,,,
14.84342856,0.18844716,-0.17089052,0.989955798,67.56181514,1,153277.0025,1.5127264,,,,,,,
14.84342856,0.18845513,-0.17089109,0.990061673,67.59971286,1,153235.824,1.51232,,,,,,,
14.84342856,0.18846312,-0.17089166,0.990167814,67.63529919,1,153195.4663,1.5119217,,,,,,,
14.84342856,0.18847238,-0.17089231,0.990290826,67.6741662,1,153150.6806,1.5114797,,,,,,,
14.84342856,0.18848309,-0.17089307,0.9904331,67.71862932,1,153098.2145,1.5109619,,,,,,,
14.84342856,0.1884955,-0.17089397,0.990597957,67.76963784,1,153035.089,1.5103389,,,,,,,
14.84342856,0.18850991,-0.170895,0.990789383,67.82805874,1,152960.8178,1.5096059,,,,,,,
14.84342856,0.18852659,-0.17089617,0.991010964,67.89532171,1,152871.1148,1.5087206,,,,,,,
14.84342856,0.18854591,-0.17089754,0.991267615,67.97308728,1,152761.9675,1.5076434,,,,,,,
14.84342856,0.18856831,-0.17089914,0.991565182,68.06281857,1,152630.0728,1.5063417,,,,,,,
14.84342856,0.18859427,-0.17090099,0.99191004,68.16649171,1,152466.3417,1.5047258,,,,,,,
14.84342856,0.18862432,-0.1709031,0.992309231,68.2863484,1,152260.8445,1.5026977,,,,,,,
14.84342856,0.18865921,-0.17090559,0.992772718,68.42318541,1,152003.6613,1.5001595,,,,,,,
14.84342856,0.1886996,-0.17090847,0.993309268,68.57285559,1,151694.0729,1.4971041,,,,,,,
14.84342856,0.18873999,-0.17091134,0.993845817,68.72701973,1,151330.9748,1.4935206,,,,,,,
14.84342856,0.18878038,-0.17091422,0.994382367,68.87812633,1,150917.1736,1.4894367,,,,,,,
14.84342856,0.18882078,-0.17091706,0.99491905,69.02266042,1,150450.8456,1.4848344,,,,,,,
14.84342856,0.18886118,-0.17091994,0.995455733,69.15846727,1,149909.1013,1.4794878,,,,,,,
14.84342856,0.18890157,-0.1709228,0.995992282,69.28071089,1,149292.7414,1.4734048,,,,,,,
14.84342856,0.18894197,-0.17092568,0.996528965,69.38665196,1,148574.2458,1.4663138,,,,,,,
14.84342856,0.18898235,-0.17092855,0.997065382,69.47373084,1,147720.8765,1.4578917,,,,,,,
14.84342856,0.18902275,-0.17093141,0.997602065,69.53899994,1,146721.8627,1.4480322,,,,,,,
14.84342856,0.18906315,-0.17093429,0.998138747,69.58120716,1,145602.3126,1.4369831,,,,,,,
14.84342856,0.18909504,-0.17093655,0.998562381,69.6003934,1,144406.171,1.4251781,,,,,,,
14.84342856,0.1891202,-0.17093836,0.998896612,69.59873825,1,143179.7433,1.4130742,,,,,,,
14.84342856,0.18914008,-0.17093976,0.999160703,69.57930854,1,141917.0413,1.4006123,,,,,,,
14.84342856,0.18915574,-0.17094088,0.999368734,69.54502857,1,140577.0587,1.3873877,,,,,,,
14.84342856,0.18916813,-0.17094176,0.999533325,69.49710699,1,139081.2079,1.3726248,,,,,,,
14.84342856,0.1891779,-0.17094244,0.999663112,69.43524754,1,137355.5722,1.3555941,,,,,,,
14.84342856,0.18918559,-0.17094299,0.999765268,69.35689737,1,135453.7323,1.3368244,,,,,,,
14.84342856,0.18919168,-0.17094342,0.999846169,69.25837082,1,133600.5285,1.3185347,,,,,,,
14.84342856,0.1891965,-0.17094377,0.999910199,69.12561953,1,132132.5927,1.3040473,,,,,,,
14.84342856,0.18920027,-0.17094404,0.99996028,68.84547384,1,131249.8695,1.2953355,,,,,,,
14.84342856,0.18920326,-0.17094424,1,68.56409203,1,131015.8088,1.2930255,,,,,,,
