Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
14.808167866092708,0.113929,-0.165682874188083,1.3285329011186248e-05,86.5098709296298,-0.0112370878331966,159329.060352699,1.573521041055427
14.808167866092708,0.115204745762712,-0.16577204308847,0.0169619875212498,53.31969322191,2.7996079654399,165945.300525645,1.6388624991783889
14.808167866092708,0.116480491525424,-0.165861211988857,0.0339106897134885,49.4690967707046,4.15909735268766,165759.847646331,1.6370309813932535
14.808167866092708,0.117756237288136,-0.165950380889244,0.0508593919057272,47.906199769493,4.97555653483928,165369.305265371,1.633174016113322
14.808167866092708,0.119031983050847,-0.166039549789631,0.0678080940979527,47.6202796417615,5.53020784635599,165105.355768823,1.6305672720223516
14.808167866092708,0.120307728813559,-0.166128718690019,0.0847567962901914,47.5085077516558,5.95440735677052,164918.957556209,1.628726418201247
14.808167866092708,0.121583474576271,-0.166217887590406,0.1017054984824301,47.4580567582793,6.28333629188453,164736.802992115,1.626927474313097
14.808167866092708,0.122859220338983,-0.166307056490793,0.1186542006746688,47.4480998444149,6.54312556187719,164488.91496465,1.6244793520045964
14.808167866092708,0.124134966101695,-0.16639622539118,0.1356029028669075,47.4309076309657,6.7406128201698,164126.513520898,1.6209003043670196
14.808167866092708,0.125410711864407,-0.166485394291568,0.1525516050591462,47.354434314609,6.87886085246868,163647.447301024,1.6161690847429162
14.808167866092708,0.126686457627119,-0.166574563191955,0.1695003072513849,47.1899573828733,6.95294559406249,163124.201381884,1.6110015499467492
14.808167866092708,0.12796220338983,-0.166663732092342,0.1864490094436103,46.9599368457931,6.97606080824225,162660.131657991,1.6064184345160428
14.808167866092708,0.129237949152542,-0.166752900992729,0.203397711635849,46.6949382447273,6.98896811218569,162356.702142692,1.6034217889214268
14.808167866092708,0.130513694915254,-0.166842069893117,0.2203464138280877,46.4053060237059,7.00372585959935,162206.046396974,1.6019339248411493
14.808167866092708,0.131789440677966,-0.166931238793504,0.2372951160203264,46.1003578045905,7.02081314299373,162184.220516207,1.6017183741904992
14.808167866092708,0.133065186440678,-0.167020407693891,0.2542438182125652,45.776098638523,7.0412743191901,162220.330699296,1.6020749954670015
14.808167866092708,0.13434093220339,-0.167109576594278,0.2711925204048039,45.4367547396994,7.05331870714972,162273.698928296,1.602602055822906
14.808167866092708,0.135616677966102,-0.167198745494665,0.2881412225970425,45.0974615980004,7.05278003764203,162314.706517866,1.6030070434936328
14.808167866092708,0.136892423728814,-0.167287914395053,0.3050899247892812,44.7650872611623,7.03784295245679,162335.318761827,1.6032106083643738
14.808167866092708,0.138168169491525,-0.16737708329544,0.3220386269815067,44.4427933808002,7.00698880622833,162337.523924459,1.6032323863739395
14.808167866092708,0.139443915254237,-0.167466252195827,0.3389873291737454,44.1291283989588,6.96031134917384,162328.676632604,1.603145011228066
14.808167866092708,0.140719661016949,-0.167555421096214,0.3559360313659841,43.8201107344423,6.89931794730023,162317.337963218,1.6030330314372043
14.808167866092708,0.141995406779661,-0.167644589996602,0.3728847335582228,43.5106815169463,6.82814754364824,162309.60790276,1.6029566899791403
14.808167866092708,0.143271152542373,-0.167733758896989,0.3898334357504615,43.1971396904986,6.74953390983162,162306.7852422,1.6029288136094872
14.808167866092708,0.144546898305085,-0.167822927797376,0.4067821379427002,42.8784268404782,6.66616001393926,162307.360168234,1.602934491532959
14.808167866092708,0.145822644067797,-0.167912096697763,0.4237308401349389,42.5560168764364,6.58005662567206,162308.700989485,1.6029477333762616
14.808167866092708,0.147098389830508,-0.168001265598151,0.4406795423271643,42.2330456865405,6.49229628253917,162308.449091173,1.6029452456487043
14.808167866092708,0.14837413559322,-0.168090434498538,0.457628244519403,41.9133736723209,6.40290178772383,162308.606106204,1.6029467963165769
14.808167866092708,0.149649881355932,-0.168179603398925,0.4745769467116417,41.6003064198998,6.31171550842881,162310.961116774,1.602970054212378
14.808167866092708,0.150925627118644,-0.168268772299312,0.4915256489038804,41.2972134865326,6.21870765461703,162315.818445133,1.603018024798279
14.808167866092708,0.152201372881356,-0.168357941199699,0.5084743510961192,41.0053498801827,6.12357775238053,162322.866971144,1.6030876354767214
14.808167866092708,0.153477118644068,-0.168447110100087,0.5254230532883579,40.7260785897762,6.02606370004216,162331.964981767,1.6031774867010704
14.808167866092708,0.15475286440678,-0.168536279000474,0.5423717554805966,40.4641270427406,5.92647362423691,162342.661616887,1.6032831258129343
14.808167866092708,0.156028610169492,-0.168625447900861,0.5593204576728352,40.2309097757722,5.82574657324533,162354.716252785,1.6034021764317343
14.808167866092708,0.157304355932203,-0.168714616801248,0.5762691598650607,40.0503705168767,5.72453559351203,162370.363099284,1.603556703434767
14.808167866092708,0.158580101694915,-0.168803785701636,0.5932178620572994,39.9573130763961,5.62157818382168,162393.063641857,1.6037808921753705
14.808167866092708,0.159855847457627,-0.168892954602023,0.6101665642495381,39.9893649702984,5.51653078790561,162427.626072196,1.6041222279696572
14.808167866092708,0.161131593220339,-0.16898212350241,0.6271152664417768,40.162818267269,5.41270495115724,162478.193909928,1.6046216318856523
14.808167866092708,0.162407338983051,-0.169071292402797,0.6440639686340155,40.4548430716422,5.31129282557743,162546.836238101,1.605299538021847
14.808167866092708,0.163683084745763,-0.169160461303184,0.6610126708262546,40.8205151858861,5.21018641886079,162629.563193255,1.6061165428062163
14.808167866092708,0.164958830508475,-0.169249630203572,0.6779613730184932,41.2178730790757,5.10840918029035,162720.620136292,1.607015813883858
