Corrected_mass_flow(kg/s),x_21(m),r_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
14.784,-0.170906246,0.188659102,0.982394576,67.6372833,1.81442785,154487.938,1.562694093
14.784,-0.170918182,0.18882978,0.985,68.1259842,1.6368314,154263.938,1.560428262
14.784,-0.170926705,0.188951701,0.986230075,68.4663925,1.49866414,154075,1.558517095
14.784,-0.1709328,0.189038739,0.987370968,68.705513,1.39413774,153919.844,1.556947643
14.784,-0.170937136,0.189100921,0.988186121,68.8745117,1.31631541,153795.969,1.555694609
14.784,-0.17094025,0.189145327,0.98876816,68.9944305,1.25909221,153699.25,1.554716265
14.784,-0.17094247,0.189177036,0.989183784,69.0797577,1.21736634,153625.406,1.55396931
14.784,-0.17094405,0.189199686,0.989480734,69.1406784,1.18715572,153569.969,1.553408547
14.784,-0.170945182,0.189215869,0.989692867,69.1841583,1.16556776,153528.359,1.552987649
14.784,-0.170946002,0.189227432,0.989844441,69.2148666,1.14978802,153498.438,1.552684989
14.784,-0.170946568,0.189235657,0.989952266,69.2369308,1.13879359,153475.813,1.55245613
14.784,-0.170946971,0.189241529,0.990029216,69.252739,1.13117135,153459.156,1.552287639
14.784,-0.170947284,0.18924576,0.990084708,69.2637634,1.12475574,153448.719,1.552182066
14.784,-0.170947492,0.189248785,0.990124345,69.2725143,1.12043154,153439.813,1.552091979
14.784,-0.170947686,0.189251781,0.990163624,69.2817612,1.11565018,153430.719,1.55199999
14.784,-0.170948029,0.189256594,0.990226746,69.2950745,1.10844779,153417.063,1.551861855
14.784,-0.170948565,0.189264327,0.990328074,69.3162537,1.09800088,153394.125,1.55162983
14.784,-0.170949429,0.189276695,0.990490198,69.3502579,1.08034408,153356.922,1.55125351
14.784,-0.170950815,0.189296544,0.990750372,69.4048691,1.0515964,153294.344,1.550620514
14.784,-0.17095305,0.189328372,0.991167545,69.4927902,1.00527811,153187.125,1.54953596
14.784,-0.170956612,0.189379364,0.991836011,69.6343079,0.930203795,152992.844,1.547570747
14.784,-0.170962334,0.189461067,0.992906988,69.829216,0.824236393,152680.813,1.544414455
14.784,-0.170968026,0.18954277,0.993978024,70.0458374,0.703232408,152255.063,1.54010786
14.784,-0.170973748,0.189624518,0.995049596,70.2667313,0.578613937,151685.219,1.534343708
14.784,-0.17097947,0.189706206,0.996120334,70.4962692,0.452822506,150855.094,1.525946733
14.784,-0.170985177,0.189787954,0.997191906,70.7377396,0.325361639,149489.375,1.512132055
14.784,-0.170990884,0.189869672,0.998263061,70.9642563,0.204939902,147394.469,1.490941422
14.784,-0.170994461,0.189920649,0.998931289,71.1281586,0.116849519,144714.219,1.46382985
14.784,-0.170996681,0.189952493,0.9993487,71.2209167,0.066327818,141600.578,1.432334392
14.784,-0.170998052,0.189972311,0.999608517,71.2629166,0.036766499,138147.766,1.397408112
14.784,-0.170998931,0.189984679,0.999770641,71.2708282,0.017632721,134619,1.361713534
14.784,-0.170999467,0.189992383,0.999871612,71.2579041,0.00381587,131840.313,1.333606241
14.784,-0.17099981,0.189997226,0.999935091,71.2475586,-0.002307887,130800.344,1.323086628
15.942,-0.165684685,0.113977537,9.49E-06,75.7222519,-2.23858094,142162.219,1.438015567
15.942,-0.165684909,0.113980532,4.89E-05,75.4622498,-2.21864223,142180.469,1.438200172
15.942,-0.165685207,0.113985099,0.000109052,74.8050766,-2.16963005,142225.859,1.438659306
15.942,-0.165685713,0.113992095,0.000201164,73.8146286,-2.09833503,142298.656,1.439395671
15.942,-0.165686458,0.114002779,0.000341826,72.5297241,-1.98622203,142459.703,1.441024712
15.942,-0.165687591,0.114019088,0.000556544,70.8758087,-1.82047355,142768.469,1.444147977
15.942,-0.165689349,0.114044026,0.000884858,68.7990494,-1.59601808,143273.5,1.449256524
15.942,-0.165692002,0.114082098,0.001386099,66.3412628,-1.29186118,144042.25,1.457032672
15.942,-0.16569607,0.11414028,0.00215209,63.5688782,-0.897699356,145103.531,1.467767864
15.942,-0.165702283,0.114229158,0.003322214,60.7001228,-0.40516752,146422.688,1.481111552
15.942,-0.165711775,0.114364922,0.005109623,57.8525085,0.209378526,147912.203,1.496178464
15.942,-0.165726274,0.114572369,0.007840762,55.0583572,0.959148109,149459.563,1.511830498
15.942,-0.165748447,0.114889272,0.012012957,52.2639656,1.83547437,150924.547,1.526649272
15.942,-0.165782288,0.115373395,0.018386696,49.3110008,2.78294945,152096.281,1.53850173
15.942,-0.16583401,0.116113029,0.02812436,46.1835747,3.74711657,152690.313,1.54451055
15.942,-0.165913135,0.117244765,0.043015536,43.5481949,4.73057985,152552.797,1.543119533
15.942,-0.166033834,0.118971094,0.065748006,42.1594658,5.6578989,151872.547,1.53623859
15.942,-0.166154593,0.120698571,0.088489711,41.7519989,6.38119221,151066.75,1.5280877
15.942,-0.166275561,0.12242841,0.111268766,41.5996552,6.89254475,150445.984,1.521808456
