"Operating_condition (e.g., stall cycle/stall inception)",r_probe(m),x_probe(m),Rotational_frame(yes/no)
Stall inception,0.1892,-0.235,yes
t(s),p(Pa),,
0.000223982,107279.3558,,
0.000225014,107267.6582,,
0.000226047,107256.2277,,
0.000227079,107249.1391,,
0.000228111,107238.4383,,
0.000229143,107232.0153,,
0.000230175,107225.9294,,
0.000231207,107220.2239,,
0.00023224,107210.8505,,
0.000233272,107205.8498,,
0.000234304,107201.1948,,
0.000235336,107196.8397,,
0.000236368,107188.9061,,
0.0002374,107185.2379,,
0.000238433,107177.9139,,
0.000239465,107170.9042,,
0.000240497,107164.2001,,
0.000241529,107153.8148,,
0.000242561,107143.6936,,
0.000243593,107133.7855,,
0.000244626,107120.1207,,
0.000245658,107106.6884,,
0.00024669,107089.3926,,
0.000247722,107072.3476,,
0.000248754,107055.4183,,
0.000249787,107034.6347,,
0.000250819,107013.9875,,
0.000251851,106993.4678,,
0.000252883,106968.9846,,
0.000253915,106944.5923,,
0.000254947,106920.2848,,
0.00025598,106892.0559,,
0.000257012,106867.8794,,
0.000258044,106839.773,,
0.000259076,106811.7115,,
0.000260108,106783.6333,,
0.00026114,106751.6536,,
0.000262173,106723.652,,
0.000263205,106691.6658,,
0.000264237,106663.716,,
0.000265269,106631.7576,,
0.000266301,106599.8298,,
0.000267334,106567.8924,,
0.000268366,106531.948,,
0.000269398,106499.9187,,
0.00027043,106467.9363,,
0.000271462,106431.878,,
0.000272494,106395.8033,,
0.000273527,106359.639,,
0.000274559,106323.4154,,
0.000275591,106287.1198,,
0.000276623,106250.7736,,
0.000277655,106210.3262,,
0.000278687,106173.7538,,
0.00027972,106133.1401,,
0.000280752,106092.389,,
0.000281784,106051.5989,,
0.000282816,106010.6688,,
0.000283848,105965.6788,,
0.000284881,105924.5592,,
0.000285913,105883.3383,,
0.000286945,105838.0217,,
0.000287977,105792.6242,,
0.000289009,105747.1245,,
0.000290041,105705.538,,
0.000291074,105659.8201,,
0.000292106,105614.0692,,
0.000293138,105568.2597,,
0.00029417,105522.2928,,
0.000295202,105472.3309,,
0.000296234,105426.302,,
0.000297267,105380.1348,,
0.000298299,105333.9797,,
0.000299331,105287.6924,,
0.000300363,105237.3513,,
0.000301395,105191.0062,,
0.000302428,105144.5408,,
0.00030346,105098.0825,,
0.000304492,105047.4987,,
0.000305524,105000.8599,,
0.000306556,104954.2161,,
0.000307588,104903.4782,,
0.000308621,104856.6872,,
0.000309653,104809.8656,,
0.000310685,104758.9634,,
0.000311717,104711.9932,,
0.000312749,104660.9589,,
0.000313781,104613.9276,,
0.000314814,104562.8056,,
0.000315846,104515.617,,
0.000316878,104464.3516,,
0.00031791,104413.0544,,
0.000318942,104365.7342,,
0.000319974,104314.3114,,
0.000321007,104262.8362,,
0.000322039,104215.2965,,
0.000323071,104163.7142,,
0.000324103,104112.0362,,
0.000325135,104060.2835,,
0.000326168,104008.4427,,
0.0003272,103956.5772,,
0.000328232,103904.575,,
0.000329264,103852.499,,
0.000330296,103800.3219,,
0.000331328,103748.0897,,
0.000332361,103695.7178,,
0.000333393,103639.2566,,
0.000334425,103586.6875,,
0.000335457,103530.0302,,
0.000336489,103477.2296,,
0.000337521,103420.3297,,
0.000338554,103367.334,,
0.000339586,103310.1868,,
0.000340618,103252.9075,,
0.00034165,103195.4897,,
0.000342682,103138.0079,,
0.000343715,103080.3335,,
0.000344747,103026.5798,,
0.000345779,102968.6395,,
0.000346811,102910.5316,,
0.000347843,102852.3482,,
0.000348875,102793.9589,,
0.000349908,102735.4722,,
0.00035094,102676.784,,
0.000351972,102617.9754,,
0.000353004,102558.9663,,
0.000354036,102499.8491,,
0.000355068,102440.5504,,
