"Operating_condition (e.g., stall cycle/stall inception)",r_probe(m),x_probe(m),Rotational_frame(yes/no)
Stall inception,0.1892,-0.235,yes
t(s),p(Pa),,
0.014354469,98610.76969,,
0.014355501,98759.78241,,
0.014356533,98905.4502,,
0.014357565,99051.96032,,
0.014358598,99199.13468,,
0.01435963,99347.24825,,
0.014360662,99492.21756,,
0.014361694,99638.04145,,
0.014362726,99784.78457,,
0.014363758,99928.46611,,
0.014364791,100073.2231,,
0.014365823,100219.062,,
0.014366855,100362.1188,,
0.014367887,100502.4593,,
0.014368919,100648.221,,
0.014369951,100791.3414,,
0.014370984,100931.9911,,
0.014372016,101074.2493,,
0.014373048,101218.1755,,
0.01437408,101359.9105,,
0.014375112,101503.4941,,
0.014376145,101645.0138,,
0.014377177,101788.5438,,
0.014378209,101934.1947,,
0.014379241,102073.9892,,
0.014380273,102216.1143,,
0.014381305,102360.5464,,
0.014382338,102503.4397,,
0.01438337,102644.787,,
0.014384402,102784.7388,,
0.014385434,102927.3586,,
0.014386466,103068.623,,
0.014387498,103208.7533,,
0.014388531,103347.6576,,
0.014389563,103485.467,,
0.014390595,103626.2259,,
0.014391627,103766.0199,,
0.014392659,103904.8648,,
0.014393692,104042.7536,,
0.014394724,104179.8467,,
0.014395756,104316.0671,,
0.014396788,104451.5066,,
0.01439782,104586.1445,,
0.014398852,104720.1633,,
0.014399885,104853.3991,,
0.014400917,104986.0104,,
0.014401949,105118.0151,,
0.014402981,105249.3312,,
0.014404013,105376.0941,,
0.014405045,105502.3185,,
0.014406078,105628.0183,,
0.01440711,105753.1261,,
0.014408142,105873.7563,,
0.014409174,105993.9217,,
0.014410206,106109.5755,,
0.014411239,106224.8728,,
0.014412271,106335.5914,,
0.014413303,106446.0052,,
0.014414335,106551.9747,,
0.014415367,106657.6306,,
0.014416399,106758.8373,,
0.014417432,106859.8272,,
0.014418464,106956.3514,,
0.014419496,107048.6934,,
0.014420528,107140.7271,,
0.01442156,107228.5157,,
0.014422592,107315.972,,
0.014423625,107395.3903,,
0.014424657,107478.4368,,
0.014425689,107553.4359,,
0.014426721,107628.2187,,
0.014427753,107698.956,,
0.014428786,107765.4964,,
0.014429818,107828.0176,,
0.01443085,107890.521,,
0.014431882,107949.1034,,
0.014432914,108003.5777,,
0.014433946,108054.1361,,
0.014434979,108104.6847,,
0.014436011,108147.3914,,
0.014437043,108194.2646,,
0.014438075,108233.313,,
0.014439107,108272.4383,,
0.014440139,108307.9637,,
0.014441172,108339.4043,,
0.014442204,108371.4723,,
0.014443236,108399.6614,,
0.014444268,108428.1769,,
0.0144453,108453.1809,,
0.014446332,108474.5349,,
0.014447365,108492.2082,,
0.014448397,108510.2552,,
0.014449429,108525.2031,,
0.014450461,108540.3558,,
0.014451493,108552.0837,,
0.014452526,108564.4022,,
0.014453558,108573.1605,,
0.01445459,108582.7039,,
0.014455622,108588.7134,,
0.014456654,108595.7375,,
0.014457686,108599.2267,,
0.014458719,108603.2188,,
0.014459751,108608.2707,,
0.014460783,108610.0243,,
0.014461815,108612.4935,,
0.014462847,108615.6896,,
0.014463879,108615.6243,,
0.014464912,108616.3099,,
0.014465944,108618.13,,
0.014466976,108616.7259,,
0.014468008,108616.0981,,
0.01446904,108616.2577,,
0.014470073,108617.215,,
0.014471105,108619.3574,,
0.014472137,108618.3099,,
0.014473169,108618.2576,,
0.014474201,108619.23,,
0.014475233,108620.8275,,
0.014476266,108623.4516,,
0.014477298,108623.0911,,
0.01447833,108627.5626,,
0.014479362,108629.2521,,
0.014480394,108631.3998,,
0.014481426,108634.9428,,
0.014482459,108639.1381,,
0.014483491,108640.3453,,
0.014484523,108646.2034,,
0.014485555,108649.0644,,
0.014486587,108652.7485,,
0.01448762,108661.6269,,
0.014488652,108663.1124,,
0.014489684,108669.2244,,
0.014490716,108676.6778,,
0.014491748,108680.3661,,
0.01449278,108685.0036,,
0.014493813,108690.4059,,
0.014494845,108696.5646,,
0.014495877,108699.4594,,
0.014496909,108706.8866,,
0.014497941,108710.858,,
0.014498973,108715.6979,,
0.014500006,108720.8575,,
0.014501038,108722.6862,,
0.01450207,108729.1661,,
0.014503102,108731.5646,,
0.014504134,108734.9395,,
0.014505167,108734.2042,,
0.014506199,108738.0523,,
0.014507231,108738.1124,,
0.014508263,108734.5192,,
0.014509295,108735.2959,,
0.014510327,108732.2278,,
0.01451136,108729.1008,,
0.014512392,108726.2865,,
0.014513424,108719.7118,,
0.014514456,108712.7334,,
0.014515488,108706.1481,,
0.01451652,108695.2655,,
0.014517553,108684.4689,,
0.014518585,108673.4324,,
0.014519617,108658.2404,,
0.014520649,108642.7433,,
0.014521681,108627.1184,,
0.014522714,108607.2477,,
0.014523746,108586.924,,
0.014524778,108566.2579,,
0.01452581,108541.2011,,
0.014526842,108515.737,,
0.014527874,108489.7313,,
0.014528907,108459.3463,,
0.014529939,108428.3317,,
0.014530971,108396.6514,,
0.014532003,108360.5241,,
0.014533035,108323.6799,,
0.014534067,108282.2246,,
0.0145351,108239.9888,,
0.014536132,108197.098,,
0.014537164,108153.5013,,
0.014538196,108105.0859,,
0.014539228,108055.9242,,
0.01454026,108001.9542,,
0.014541293,107947.2217,,
0.014542325,107891.7036,,
0.014543357,107831.3314,,
0.014544389,107770.1693,,
0.014545421,107708.1182,,
0.014546454,107641.2082,,
0.014547486,107573.6099,,
0.014548518,107505.0553,,
0.01454955,107431.7001,,
0.014550582,107357.5996,,
0.014551614,107282.6331,,
0.014552647,107206.8388,,
0.014553679,107126.3398,,
0.014554711,107041.0331,,
0.014555743,106959.0345,,
0.014556775,106872.2848,,
0.014557807,106780.9016,,
0.01455884,106688.8158,,
0.014559872,106596.0715,,
0.014560904,106502.7673,,
0.014561936,106404.8221,,
0.014562968,106306.4276,,
0.014564001,106203.4687,,
0.014565033,106099.9766,,
0.014566065,105992.1641,,
0.014567097,105883.8852,,
0.014568129,105775.301,,
0.014569161,105662.3525,,
0.014570194,105549.172,,
0.014571226,105431.7238,,
0.014572258,105313.9987,,
0.01457329,105196.1721,,
0.014574322,105074.1251,,
0.014575354,104948.0768,,
0.014576387,104821.8701,,
0.014577419,104695.7438,,
0.014578451,104565.5369,,
0.014579483,104431.4521,,
0.014580515,104297.3617,,
0.014581548,104163.3252,,
0.01458258,104025.4981,,
0.014583612,103883.8778,,
0.014584644,103746.3716,,
0.014585676,103601.1389,,
0.014586708,103456.0914,,
0.014587741,103311.3545,,
0.014588773,103162.7901,,
0.014589805,103014.5753,,
0.014590837,102862.6909,,
0.014591869,102711.0103,,
0.014592901,102555.6584,,
0.014593934,102404.6384,,
0.014594966,102245.785,,
0.014595998,102091.2736,,
0.01459703,101932.9163,,
0.014598062,101774.9708,,
0.014599095,101617.1965,,
0.014600127,101455.4884,,
0.014601159,101298.1485,,
0.014602191,101136.8101,,
0.014603223,100975.6402,,
0.014604255,100814.5819,,
0.014605288,100653.574,,
0.01460632,100492.5808,,
0.014607352,100331.4355,,
0.014608384,100174.3889,,
0.014609416,100013.0531,,
0.014610448,99855.725,,
0.014611481,99698.00955,,
0.014612513,99540.01892,,
0.014613545,99381.81929,,
0.014614577,99227.10168,,
0.014615609,99071.89813,,
0.014616642,98920.3333,,
0.014617674,98772.01041,,
0.014618706,98619.21192,,
0.014619738,98473.68448,,
0.01462077,98327.4106,,
0.014621802,98184.27045,,
0.014622835,98044.22754,,
0.014623867,97903.38792,,
0.014624899,97765.5084,,
0.014625931,97634.56902,,
0.014626963,97502.45423,,
0.014627995,97373.3261,,
0.014629028,97246.78277,,
0.01463006,97123.23925,,
0.014631092,97002.21667,,
0.014632124,96883.94938,,
0.014633156,96768.24953,,
0.014634188,96655.22512,,
0.014635221,96548.66453,,
0.014636253,96440.56961,,
0.014637285,96339.03697,,
0.014638317,96239.93906,,
0.014639349,96143.27715,,
0.014640382,96049.25632,,
0.014641414,95957.26901,,
0.014642446,95872.25542,,
0.014643478,95785.17886,,
0.01464451,95705.02864,,
0.014645542,95627.14703,,
0.014646575,95551.74383,,
0.014647607,95478.55743,,
0.014648639,95408.65905,,
0.014649671,95340.94237,,
0.014650703,95275.82329,,
0.014651735,95213.09522,,
0.014652768,95153.65591,,
0.0146538,95096.54265,,
0.014654832,95043.00492,,
0.014655864,94992.06569,,
0.014656896,94939.72144,,
0.014657929,94891.21767,,
0.014658961,94845.33812,,
0.014659993,94802.87388,,
0.014661025,94760.04915,,
0.014662057,94720.39875,,
0.014663089,94684.26038,,
0.014664122,94648.18527,,
0.014665154,94612.3431,,
0.014666186,94579.98482,,
0.014667218,94547.66934,,
0.01466825,94515.97611,,
0.014669282,94488.88777,,
0.014670315,94462.54459,,
0.014671347,94436.4374,,
0.014672379,94411.70664,,
0.014673411,94388.45998,,
0.014674443,94366.17793,,
0.014675476,94345.4572,,
0.014676508,94326.44359,,
0.01467754,94309.2039,,
0.014678572,94293.73096,,
0.014679604,94280.70173,,
0.014680636,94265.62854,,
0.014681669,94253.15052,,
0.014682701,94243.88811,,
0.014683733,94232.21317,,
0.014684765,94223.91967,,
0.014685797,94219.03831,,
0.014686829,94216.51057,,
0.014687862,94213.48897,,
0.014688894,94209.5287,,
0.014689926,94213.1707,,
0.014690958,94215.99211,,
0.01469199,94222.49502,,
0.014693023,94228.18791,,
0.014694055,94237.70053,,
0.014695087,94246.4115,,
0.014696119,94258.98509,,
0.014697151,94275.34541,,
0.014698183,94291.01763,,
0.014699216,94310.50514,,
0.014700248,94333.29154,,
0.01470128,94355.3395,,
0.014702312,94384.61436,,
0.014703344,94413.69569,,
0.014704376,94441.98858,,
0.014705409,94476.89233,,
0.014706441,94510.94882,,
0.014707473,94548.16062,,
0.014708505,94591.8397,,
0.014709537,94634.0525,,
0.01471057,94679.26828,,
0.014711602,94726.33608,,
0.014712634,94775.78445,,
0.014713666,94831.52156,,
0.014714698,94885.02172,,
0.01471573,94944.70818,,
0.014716763,95005.53672,,
0.014717795,95068.43205,,
0.014718827,95135.90655,,
0.014719859,95205.3601,,
0.014720891,95275.24707,,
0.014721923,95346.05398,,
0.014722956,95422.18693,,
0.014723988,95502.04902,,
0.01472502,95582.91729,,
0.014726052,95663.95389,,
0.014727084,95749.11545,,
0.014728116,95838.66989,,
0.014729149,95927.57003,,
0.014730181,96016.36411,,
0.014731213,96109.44282,,
0.014732245,96205.38428,,
0.014733277,96305.13809,,
0.01473431,96404.42465,,
0.014735342,96502.799,,
0.014736374,96608.15118,,
0.014737406,96712.95239,,
0.014738438,96816.69703,,
0.01473947,96927.32226,,
0.014740503,97032.97898,,
0.014741535,97145.16837,,
0.014742567,97256.19854,,
0.014743599,97369.91927,,
0.014744631,97486.23257,,
0.014745663,97601.293,,
0.014746696,97718.73051,,
0.014747728,97838.84465,,
0.01474876,97957.42177,,
0.014749792,98078.43103,,
0.014750824,98197.84322,,
0.014751857,98319.63265,,
0.014752889,98443.98087,,
0.014753921,98566.50967,,
0.014754953,98691.48558,,
0.014755985,98814.8184,,
0.014757017,98940.47665,,
0.01475805,99068.44276,,
0.014759082,99194.74404,,
0.014760114,99319.39438,,
0.014761146,99446.37697,,
0.014762178,99575.70644,,
0.01476321,99699.38208,,
0.014764243,99829.57487,,
0.014765275,99954.07102,,
0.014766307,100084.9724,,
0.014767339,100210.328,,
0.014768371,100338.2365,,
0.014769404,100464.5164,,
0.014770436,100593.3287,,
0.014771468,100720.6569,,
0.0147725,100846.5282,,
0.014773532,100974.9591,,
0.014774564,101102.0153,,
0.014775597,101227.6853,,
0.014776629,101356.0144,,
0.014777661,101482.9984,,
0.014778693,101608.72,,
0.014779725,101733.07,,
0.014780757,101860.2686,,
0.01478179,101982.173,,
0.014782822,102106.9151,,
0.014783854,102230.5041,,
0.014784886,102352.967,,
0.014785918,102474.3608,,
0.014786951,102594.6653,,
0.014787983,102713.9499,,
0.014789015,102836.1132,,
0.014790047,102953.3428,,
0.014791079,103069.579,,
0.014792111,103184.9086,,
0.014793144,103299.3217,,
0.014794176,103412.8735,,
0.014795208,103525.4995,,
0.01479624,103637.28,,
0.014797272,103748.3864,,
0.014798304,103858.6308,,
0.014799337,103968.0382,,
0.014800369,104072.842,,
0.014801401,104176.8512,,
0.014802433,104280.2379,,
0.014803465,104382.9714,,
0.014804497,104485.132,,
0.01480553,104582.7446,,
0.014806562,104679.7323,,
0.014807594,104772.1923,,
0.014808626,104864.2087,,
0.014809658,104955.7798,,
0.014810691,105042.9338,,
0.014811723,105129.6162,,
0.014812755,105215.9356,,
0.014813787,105297.9212,,
0.014814819,105379.6031,,
0.014815851,105457.0435,,
0.014816884,105534.1224,,
0.014817916,105607.0215,,
0.014818948,105679.8692,,
0.01481998,105752.324,,
0.014821012,105820.8295,,
0.014822044,105885.2333,,
0.014823077,105949.5033,,
0.014824109,106013.7752,,
0.014825141,106070.0554,,
0.014826173,106130.4497,,
0.014827205,106186.9333,,
0.014828238,106239.547,,
0.01482927,106288.1878,,
0.014830302,106341.1527,,
0.014831334,106386.227,,
0.014832366,106431.5317,,
0.014833398,106473.1459,,
0.014834431,106515.1148,,
0.014835463,106557.4849,,
0.014836495,106591.7898,,
0.014837527,106630.8494,,
0.014838559,106666.5215,,
0.014839591,106698.2962,,
0.014840624,106730.5071,,
0.014841656,106759.1976,,
0.014842688,106788.7123,,
0.01484372,106814.362,,
0.014844752,106840.6893,,
0.014845785,106867.8804,,
0.014846817,106891.603,,
0.014847849,106915.84,,
0.014848881,106936.2467,,
0.014849913,106957.9408,,
0.014850945,106975.8232,,
0.014851978,106994.6319,,
0.01485301,107013.6403,,
0.014854042,107029.9754,,
0.014855074,107046.3282,,
0.014856106,107059.6559,,
0.014857138,107077.5751,,
0.014858171,107091.9016,,
0.014859203,107103.0281,,
0.014860235,107118.958,,
0.014861267,107131.3057,,
0.014862299,107140.4679,,
0.014863332,107154.241,,
0.014864364,107164.2567,,
0.014865396,107174.7009,,
0.014866428,107182.1497,,
0.01486746,107189.8395,,
0.014868492,107198.1463,,
0.014869525,107207.2678,,
0.014870557,107216.2365,,
0.014871589,107221.8162,,
0.014872621,107228.2026,,
0.014873653,107234.6148,,
0.014874685,107236.859,,
0.014875718,107240.0854,,
0.01487675,107243.3225,,
0.014877782,107246.9524,,
0.014878814,107246.58,,
0.014879846,107246.3978,,
0.014880879,107246.3879,,
0.014881911,107246.3531,,
0.014882943,107242.4855,,
0.014883975,107238.3773,,
0.014885007,107234.4194,,
0.014886039,107226.4025,,
0.014887072,107217.9298,,
0.014888104,107209.7685,,
0.014889136,107201.133,,
0.014890168,107188.2138,,
0.0148912,107174.9902,,
0.014892232,107161.4644,,
0.014893265,107143.2395,,
0.014894297,107124.6829,,
0.014895329,107105.7976,,
0.014896361,107081.9868,,
0.014897393,107058.0193,,
0.014898425,107032.9207,,
0.014899458,107007.6504,,
0.01490049,106977.2333,,
0.014901522,106946.0427,,
0.014902554,106909.8898,,
0.014903586,106877.3429,,
0.014904619,106835.4296,,
0.014905651,106796.7209,,
0.014906683,106752.8261,,
0.014907715,106708.1352,,
0.014908747,106662.0483,,
0.014909779,106610.7598,,
0.014910812,106558.861,,
0.014911844,106504.9602,,
0.014912876,106450.4482,,
0.014913908,106390.3209,,
0.01491494,106324.5737,,
0.014915972,106261.8105,,
0.014917005,106193.4151,,
0.014918037,106123.5958,,
0.014919069,106047.9181,,
0.014920101,105975.4363,,
0.014921133,105896.6687,,
0.014922166,105812.8767,,
0.014923198,105727.2163,,
0.01492423,105640.0675,,
0.014925262,105551.0363,,
0.014926294,105456.3001,,
0.014927326,105356.0817,,
0.014928359,105258.137,,
0.014929391,105154.0079,,
0.014930423,105044.1117,,
0.014931455,104936.6815,,
0.014932487,104819.4346,,
0.014933519,104703.9068,,
0.014934552,104583.2414,,
0.014935584,104460.2249,,
0.014936616,104331.2835,,
0.014937648,104200.6567,,
0.01493868,104064.0451,,
0.014939713,103925.2047,,
0.014940745,103784.9447,,
0.014941777,103638.67,,
0.014942809,103489.9094,,
0.014943841,103339.7149,,
0.014944873,103184.0604,,
0.014945906,103026.0669,,
0.014946938,102866.1629,,
0.01494797,102700.1308,,
0.014949002,102532.5937,,
0.014950034,102358.7939,,
0.014951066,102188.2947,,
0.014952099,102011.0464,,
0.014953131,101832.4316,,
0.014954163,101648.022,,
0.014955195,101461.9851,,
0.014956227,101278.578,,
0.01495726,101089.179,,
0.014958292,100898.5638,,
0.014959324,100706.4095,,
0.014960356,100508.4935,,
0.014961388,100313.5131,,
0.01496242,100117.1272,,
0.014963453,99916.05439,,
0.014964485,99717.14279,,
0.014965517,99517.33191,,
0.014966549,99317.36567,,
0.014967581,99115.40617,,
0.014968613,98917.77218,,
0.014969646,98719.27482,,
0.014970678,98515.88387,,
0.01497171,98320.25549,,
0.014972742,98120.97566,,
0.014973774,97924.86983,,
0.014974807,97729.13315,,
0.014975839,97537.1724,,
0.014976871,97344.98808,,
0.014977903,97157.95709,,
0.014978935,96970.74997,,
0.014979967,96788.78355,,
0.014981,96606.74965,,
0.014982032,96430.73804,,
0.014983064,96254.72245,,
0.014984096,96084.90417,,
0.014985128,95915.10799,,
0.01498616,95751.64052,,
0.014987193,95589.06091,,
0.014988225,95432.95967,,
0.014989257,95281.07704,,
0.014990289,95136.60471,,
0.014991321,94993.25985,,
0.014992353,94852.69893,,
0.014993386,94718.1937,,
0.014994418,94589.81058,,
0.01499545,94463.63384,,
0.014996482,94343.70946,,
0.014997514,94226.96297,,
0.014998547,94121.47746,,
0.014999579,94014.46731,,
0.015000611,93917.15872,,
0.015001643,93823.32351,,
0.015002675,93732.15805,,
0.015003707,93648.60954,,
0.01500474,93567.00911,,
0.015005772,93493.16705,,
0.015006804,93426.50302,,
0.015007836,93363.06758,,
0.015008868,93302.16916,,
0.0150099,93244.68617,,
0.015010933,93194.68933,,
0.015011965,93151.4693,,
0.015012997,93106.94329,,
0.015014029,93074.0529,,
0.015015061,93039.8319,,
0.015016094,93013.39933,,
0.015017126,92988.76305,,
0.015018158,92967.96023,,
0.01501919,92949.98698,,
0.015020222,92938.91649,,
0.015021254,92929.94999,,
0.015022287,92924.71422,,
0.015023319,92921.60404,,
0.015024351,92925.29069,,
0.015025383,92931.98357,,
0.015026415,92936.71031,,
0.015027447,92948.36669,,
0.01502848,92962.07597,,
0.015029512,92977.82691,,
0.015030544,92996.39102,,
0.015031576,93016.24114,,
0.015032608,93038.91083,,
0.015033641,93066.75696,,
0.015034673,93092.5453,,
0.015035705,93119.5931,,
0.015036737,93148.56367,,
0.015037769,93179.55163,,
0.015038801,93211.60548,,
0.015039834,93244.77918,,
0.015040866,93282.99828,,
0.015041898,93315.08576,,
0.01504293,93352.26393,,
0.015043962,93390.43455,,
0.015044994,93429.66675,,
0.015046027,93469.0485,,
0.015047059,93506.2047,,
0.015048091,93547.45999,,
0.015049123,93585.66999,,
0.015050155,93624.04747,,
0.015051188,93666.50028,,
0.01505222,93705.94354,,
0.015053252,93745.34227,,
0.015054284,93785.72237,,
0.015055316,93826.12045,,
0.015056348,93866.56197,,
0.015057381,93903.02162,,
0.015058413,93943.4992,,
0.015059445,93979.96847,,
0.015060477,94017.25515,,
0.015061509,94053.61461,,
0.015062541,94090.84669,,
0.015063574,94127.15554,,
0.015064606,94163.45253,,
0.015065638,94199.68251,,
0.01506667,94231.87086,,
0.015067702,94268.04375,,
0.015068735,94299.28191,,
0.015069767,94330.45316,,
0.015070799,94361.49926,,
0.015071831,94392.50412,,
0.015072863,94422.58806,,
0.015073895,94452.63439,,
0.015074928,94482.53052,,
0.01507596,94508.38704,,
0.015076992,94537.25481,,
0.015078024,94562.08745,,
0.015079056,94587.55252,,
0.015080088,94611.40108,,
0.015081121,94635.88221,,
0.015082153,94660.35577,,
0.015083185,94683.89407,,
0.015084217,94707.35141,,
0.015085249,94727.4612,,
0.015086281,94750.78597,,
0.015087314,94770.03169,,
0.015088346,94793.98472,,
0.015089378,94813.80858,,
0.01509041,94832.9709,,
0.015091442,94857.55147,,
0.015092475,94877.35117,,
0.015093507,94897.87678,,
0.015094539,94918.47732,,
0.015095571,94943.82754,,
0.015096603,94965.25109,,
0.015097635,94988.17822,,
0.015098668,95010.54003,,
0.0150997,95038.3193,,
0.015100732,95062.3647,,
0.015101764,95087.91273,,
0.015102796,95117.63987,,
0.015103828,95144.98597,,
0.015104861,95176.60786,,
0.015105893,95209.82099,,
0.015106925,95240.6731,,
0.015107957,95275.81454,,
0.015108989,95312.70598,,
0.015110022,95351.1912,,
0.015111054,95394.76424,,
0.015112086,95436.0643,,
0.015113118,95478.38944,,
0.01511415,95526.53695,,
0.015115182,95576.38368,,
0.015116215,95627.97136,,
0.015117247,95681.27432,,
0.015118279,95735.82994,,
0.015119311,95796.58725,,
0.015120343,95854.39531,,
0.015121375,95919.10682,,
0.015122408,95984.2705,,
0.01512344,96052.28435,,
0.015124472,96121.39073,,
0.015125504,96196.6948,,
0.015126536,96273.65134,,
0.015127569,96347.63467,,
0.015128601,96427.74914,,
0.015129633,96513.45493,,
0.015130665,96596.67543,,
0.015131697,96685.38737,,
0.015132729,96775.05953,,
0.015133762,96866.68098,,
0.015134794,96959.67377,,
0.015135826,97058.01347,,
0.015136858,97157.10345,,
0.01513789,97257.39996,,
0.015138922,97362.37869,,
0.015139955,97464.0224,,
0.015140987,97570.63418,,
0.015142019,97682.27495,,
0.015143051,97789.44501,,
0.015144083,97901.92958,,
0.015145116,98018.24007,,
0.015146148,98130.85397,,
0.01514718,98248.03995,,
0.015148212,98368.49323,,
0.015149244,98488.53798,,
0.015150276,98608.94975,,
0.015151309,98728.49717,,
0.015152341,98855.32905,,
0.015153373,98977.49184,,
0.015154405,99102.96824,,
0.015155437,99231.97321,,
0.015156469,99358.96567,,
0.015157502,99485.05551,,
0.015158534,99614.08547,,
0.015159566,99741.65183,,
0.015160598,99871.09037,,
0.01516163,100003.2674,,
0.015162663,100133.9174,,
0.015163695,100262.8287,,
0.015164727,100393.468,,
0.015165759,100526.1892,,
0.015166791,100656.7063,,
0.015167823,100789.2169,,
0.015168856,100919.4507,,
0.015169888,101047.3713,,
0.01517092,101176.919,,
0.015171952,101308.2634,,
0.015172984,101436.9775,,
0.015174016,101567.3789,,
0.015175049,101695.3336,,
0.015176081,101824.5533,,
0.015177113,101951.4021,,
0.015178145,102079.8226,,
0.015179177,102209.619,,
0.015180209,102336.8658,,
0.015181242,102461.7426,,
0.015182274,102588.1214,,
0.015183306,102715.8374,,
0.015184338,102841.2466,,
0.01518537,102964.2263,,
0.015186403,103088.7948,,
0.015187435,103215.1486,,
0.015188467,103335.0586,,
0.015189499,103460.6615,,
0.015190531,103584.1565,,
0.015191563,103705.4848,,
0.015192596,103828.6045,,
0.015193628,103949.7554,,
0.01519466,104072.8887,,
0.015195692,104198.0918,,
0.015196724,104321.4216,,
0.015197756,104443.005,,
0.015198789,104566.7239,,
0.015199821,104688.7895,,
0.015200853,104805.2544,,
0.015201885,104924.2685,,
0.015202917,105045.6249,,
0.01520395,105169.6234,,
0.015204982,105292.0799,,
0.015206014,105413.3471,,
0.015207046,105537.308,,
0.015208078,105659.9821,,
0.01520911,105781.5463,,
0.015210143,105906.0207,,
0.015211175,106025.399,,
0.015212207,106151.6323,,
0.015213239,106272.9501,,
0.015214271,106397.3526,,
0.015215303,106520.8897,,
0.015216336,106639.4536,,
0.015217368,106761.2551,,
0.0152184,106886.1272,,
0.015219432,107006.3292,,
0.015220464,107125.7082,,
0.015221497,107248.5144,,
0.015222529,107366.5434,,
0.015223561,107483.8724,,
0.015224593,107600.5949,,
0.015225625,107716.6991,,
0.015226657,107828.099,,
0.01522769,107943.0525,,
0.015228722,108057.3359,,
0.015229754,108167.0731,,
0.015230786,108276.3025,,
0.015231818,108385.0377,,
0.01523285,108489.2662,,
0.015233883,108592.8912,,
0.015234915,108696.0301,,
0.015235947,108794.7623,,
0.015236979,108893.0411,,
0.015238011,108986.783,,
0.015239044,109076.1009,,
0.015240076,109165.0934,,
0.015241108,109253.8078,,
0.01524214,109334.0191,,
0.015243172,109417.7184,,
0.015244204,109493.2376,,
0.015245237,109568.3891,,
0.015246269,109639.3307,,
0.015247301,109705.864,,
0.015248333,109772.1581,,
0.015249365,109830.5714,,
0.015250397,109888.3444,,
0.01525143,109946.4123,,
0.015252462,109996.005,,
0.015253494,110041.4917,,
0.015254526,110087.2567,,
0.015255558,110128.7146,,
0.01525659,110166.4479,,
0.015257623,110199.8655,,
0.015258655,110229.5535,,
0.015259687,110255.5335,,
0.015260719,110281.5868,,
0.015261751,110299.9413,,
0.015262784,110318.1745,,
0.015263816,110333.3396,,
0.015264848,110344.6189,,
0.01526588,110352.2172,,
0.015266912,110360.3669,,
0.015267944,110364.8546,,
0.015268977,110361.9187,,
0.015270009,110360.0068,,
0.015271041,110358.7068,,
0.015272073,110349.7959,,
0.015273105,110342.2042,,
0.015274137,110330.7912,,
0.01527517,110316.7383,,
0.015276202,110299.5794,,
0.015277234,110283.1326,,
0.015278266,110263.8616,,
0.015279298,110245.7871,,
0.015280331,110224.9288,,
0.015281363,110201.0494,,
0.015282395,110178.4203,,
0.015283427,110152.6034,,
0.015284459,110128.9818,,
0.015285491,110101.9431,,
0.015286524,110076.4799,,
0.015287556,110048.5407,,
0.015288588,110021.7466,,
0.01528962,109992.9611,,
0.015290652,109961.0774,,
0.015291684,109935.0267,,
0.015292717,109906.3554,,
0.015293749,109875.5324,,
0.015294781,109845.6374,,
0.015295813,109818.0617,,
0.015296845,109787.1519,,
0.015297878,109758.3686,,
0.01529891,109731.4424,,
0.015299942,109701.9082,,
0.015300974,109677.7618,,
0.015302006,109646.9979,,
0.015303038,109622.0688,,
0.015304071,109598.5053,,
0.015305103,109572.7549,,
0.015306135,109548.6068,,
0.015307167,109525.5261,,
0.015308199,109499.7599,,
0.015309231,109475.5482,,
0.015310264,109453.0649,,
0.015311296,109431.5853,,
0.015312328,109411.5946,,
0.01531336,109388.8168,,
0.015314392,109371.4742,,
0.015315425,109351.0486,,
0.015316457,109331.5637,,
0.015317489,109312.9514,,
0.015318521,109295.6622,,
0.015319553,109278.9937,,
0.015320585,109263.1525,,
0.015321618,109244.0776,,
0.01532265,109229.7691,,
0.015323682,109211.749,,
0.015324714,109198.4359,,
0.015325746,109181.5778,,
0.015326778,109164.9466,,
0.015327811,109148.911,,
0.015328843,109133.0428,,
0.015329875,109113.3059,,
0.015330907,109097.6809,,
0.015331939,109077.9384,,
0.015332972,109058.0564,,
0.015334004,109038.0131,,
0.015335036,109017.9704,,
0.015336068,108997.148,,
0.0153371,108976.0991,,
0.015338132,108954.9823,,
0.015339165,108928.8431,,
0.015340197,108902.2419,,
0.015341229,108879.1432,,
0.015342261,108846.826,,
0.015343293,108818.3484,,
0.015344325,108788.2798,,
0.015345358,108753.8692,,
0.01534639,108718.0334,,
0.015347422,108681.4828,,
0.015348454,108639.5266,,
0.015349486,108600.5185,,
0.015350518,108556.4484,,
0.015351551,108511.1904,,
0.015352583,108464.3998,,
0.015353615,108412.4159,,
0.015354647,108359.0299,,
0.015355679,108304.3211,,
0.015356712,108248.2856,,
0.015357744,108190.7531,,
0.015358776,108127.8775,,
0.015359808,108063.6314,,
0.01536084,107993.8755,,
0.015361872,107926.6404,,
0.015362905,107854.0118,,
0.015363937,107776.052,,
0.015364969,107700.6126,,
0.015366001,107619.7127,,
0.015367033,107537.5085,,
0.015368065,107453.9149,,
0.015369098,107365.0171,,
0.01537013,107274.7784,,
0.015371162,107179.2088,,
0.015372194,107086.3334,,
0.015373226,106988.3288,,
0.015374259,106885.1156,,
0.015375291,106784.8405,,
0.015376323,106675.2917,,
0.015377355,106568.8236,,
0.015378387,106457.2988,,
0.015379419,106340.896,,
0.015380452,106227.4551,,
0.015381484,106105.232,,
0.015382516,105986.1585,,
0.015383548,105858.2991,,
